iter	RMSE
0	28.25943109
1	26.48761872
2	24.98520895
3	23.43648556
4	22.00495228
5	20.67658673
6	19.65056768
7	18.58318176
8	17.85452839
9	17.14733006
10	16.50672991
11	15.82153449
12	15.1911378
13	14.73905856
14	14.21916165
15	13.75831912
16	13.37360335
17	12.92539416
18	12.5642868
19	12.23452379
20	11.95817885
21	11.69088628
22	11.44820858
23	11.1970471
24	11.03318148
25	10.68819014
26	10.51828991
27	10.36383452
28	10.15279041
29	9.914678841
30	9.74718475
31	9.532405632
32	9.413358695
33	9.261034317
34	9.090764397
35	8.890047146
36	8.806431153
37	8.683220086
38	8.563870797
39	8.438074261
40	8.318671555
41	8.218085031
42	8.104318583
43	7.985125633
44	7.840716884
45	7.728832718
46	7.597736487
47	7.552547409
48	7.497837668
49	7.440829961
50	7.362346953
51	7.251397012
52	7.18745978
53	7.080654783
54	7.012968499
55	6.891042864
56	6.81315911
57	6.745953672
58	6.667634777
59	6.568450747
60	6.449982948
61	6.372045541
62	6.28121221
63	6.20598163
64	6.114264827
65	6.024895311
66	5.937389756
67	5.854680953
68	5.801457967
69	5.739842195
70	5.680636196
71	5.589917174
72	5.53356037
73	5.483224281
74	5.412093261
75	5.362858559
76	5.290704127
77	5.231531516
78	5.204355932
79	5.150233721
80	5.091751853
81	5.018675352
82	4.960561409
83	4.910395785
84	4.869714418
85	4.815411955
86	4.777365507
87	4.723548848
88	4.67844447
89	4.638224819
90	4.589315441
91	4.550122594
92	4.519854959
93	4.479663383
94	4.441254216
95	4.425974326
96	4.38768133
97	4.37117492
98	4.341077899
99	4.327769934
100	4.280219949
101	4.248101376
102	4.205549155
103	4.169005065
104	4.136255225
105	4.106552909
106	4.082216814
107	4.045763013
108	4.009094409
109	3.982428205
110	3.964247263
111	3.931216214
112	3.919591985
113	3.905584722
114	3.87955738
115	3.870477639
116	3.860555777
117	3.825018048
118	3.79229328
119	3.771114349
120	3.763531342
121	3.735667128
122	3.70958155
123	3.669569251
124	3.649112391
125	3.64184904
126	3.603658389
127	3.58828888
128	3.550506504
129	3.527796575
130	3.502741349
131	3.488702322
132	3.461472079
133	3.426965039
134	3.392591327
135	3.365363645
136	3.348685102
137	3.324373214
138	3.312897734
139	3.291287179
140	3.283469894
141	3.266333586
142	3.248778519
143	3.219811556
144	3.202569185
145	3.194100136
146	3.18784651
147	3.169800232
148	3.138714601
149	3.123499527
150	3.111178607
151	3.10708449
152	3.085425674
153	3.064984634
154	3.04434555
155	3.023975507
156	3.005232845
157	2.990376455
158	2.969127896
159	2.962962628
160	2.945925067
161	2.930004151
162	2.905649672
163	2.888697043
164	2.883410725
165	2.857229407
166	2.836882852
167	2.815834207
168	2.795593746
169	2.788205652
170	2.774612521
171	2.763637314
172	2.748739377
173	2.741692686
174	2.726171734
175	2.705843269
176	2.687170752
177	2.672726308
178	2.663174466
179	2.636601111
180	2.620961955
181	2.600027024
182	2.595295255
183	2.567174064
184	2.537961041
185	2.524733097
186	2.501098393
187	2.483571591
188	2.475020755
189	2.469563038
190	2.451868234
191	2.441245996
192	2.433921907
193	2.426274214
194	2.405124073
195	2.394709832
196	2.376314779
197	2.360572252
198	2.348000532
199	2.327451246
200	2.316900262
201	2.300071891
202	2.281330651
203	2.266443528
204	2.251553063
205	2.241542158
206	2.234596011
207	2.230422318
208	2.202985913
209	2.190972763
210	2.17541122
211	2.165869475
212	2.161019551
213	2.157457146
214	2.144241038
215	2.137777215
216	2.134228518
217	2.124442749
218	2.108232422
219	2.101318082
220	2.092441715
221	2.081559035
222	2.065524265
223	2.057627348
224	2.049842732
225	2.046066191
226	2.038814356
227	2.035647604
228	2.032953982
229	2.019003738
230	2.015474009
231	2.009105655
232	1.987341039
233	1.968665097
234	1.958848748
235	1.953971711
236	1.9409147
237	1.935424385
238	1.923035522
239	1.90308331
240	1.889701111
241	1.878198058
242	1.875556562
243	1.858056866
244	1.852192749
245	1.847130325
246	1.830852572
247	1.819649114
248	1.812227856
249	1.807437283
250	1.801429625
251	1.795305008
252	1.781337348
253	1.762947814
254	1.753397149
255	1.742465405
256	1.739346177
257	1.726199272
258	1.71999972
259	1.6954754
260	1.690428271
261	1.68301569
262	1.67701534
263	1.655814273
264	1.648780873
265	1.638090503
266	1.633778189
267	1.624988775
268	1.612319248
269	1.606140295
270	1.597273209
271	1.591737928
272	1.587112375
273	1.582781961
274	1.575201718
275	1.570852841
276	1.556055668
277	1.548833182
278	1.541067013
279	1.533321238
280	1.523068135
281	1.519930341
282	1.513568424
283	1.504525262
284	1.50271067
285	1.49931327
286	1.482202329
287	1.476137469
288	1.468384018
289	1.454761268
290	1.445164708
291	1.438996788
292	1.426237433
293	1.418110543
294	1.413632976
295	1.41014524
296	1.399822858
297	1.397351938
298	1.395156297
299	1.389421706
300	1.377404421
301	1.365940011
302	1.357153951
303	1.353316671
304	1.350443523
305	1.346676681
306	1.342938358
307	1.332100485
308	1.327145622
309	1.322744982
310	1.312510267
311	1.308041778
312	1.295925859
313	1.284506844
314	1.281856727
315	1.26978536
316	1.256942103
317	1.25330248
318	1.247251175
319	1.244567349
320	1.237583303
321	1.226745878
322	1.223569008
323	1.214452649
324	1.205929638
325	1.204304914
326	1.201702882
327	1.191236275
328	1.185099875
329	1.175564223
330	1.166618117
331	1.16338642
332	1.153380719
333	1.143723779
334	1.136563879
335	1.134685499
336	1.131165442
337	1.129671468
338	1.12263331
339	1.115047704
340	1.11266815
341	1.106110589
342	1.104480878
343	1.10267227
344	1.094692889
345	1.0932204
346	1.087713489
347	1.085438038
348	1.082744866
349	1.075124573
350	1.073804281
351	1.072534311
352	1.071082416
353	1.068410301
354	1.066486522
355	1.061738187
356	1.05960934
357	1.054045984
358	1.046167914
359	1.038607547
360	1.026235624
361	1.022860375
362	1.021680547
363	1.016977396
364	1.011068306
365	1.007461949
366	1.005579093
367	1.000354324
368	0.9987299132
369	0.9956028882
370	0.9904938884
371	0.9870459761
372	0.9792218747
373	0.9712896636
374	0.969059962
375	0.9607755137
376	0.9545026557
377	0.9494605364
378	0.9472686333
379	0.9424796573
380	0.9356619941
381	0.9296985385
382	0.927037226
383	0.9230965418
384	0.9200138884
385	0.9148170985
386	0.9052540968
387	0.9033740196
388	0.8993115534
389	0.8905402728
390	0.8802605301
391	0.8728094637
392	0.8706056504
393	0.8689495765
394	0.8645787937
395	0.8588012872
396	0.8575695663
397	0.8564123041
398	0.8541835451
399	0.8495440275
400	0.8430160972
401	0.8416382626
402	0.8405507633
403	0.8399089175
404	0.8375983227
405	0.8277868101
406	0.821885156
407	0.816266319
408	0.8154219964
409	0.8133985952
410	0.8093547325
411	0.8085058075
412	0.8074518876
413	0.8062260065
414	0.8026371218
415	0.7970848281
416	0.7911687084
417	0.7859291156
418	0.7853753138
419	0.7829476569
420	0.7748124126
421	0.7674965243
422	0.7612197455
423	0.7554333174
424	0.7524329578
425	0.7452942763
426	0.7397170768
427	0.7389404429
428	0.7371427197
429	0.7291594932
430	0.7281544068
431	0.7226378031
432	0.7197841292
433	0.7187675412
434	0.716080283
435	0.7150176873
436	0.7089269954
437	0.7075980561
438	0.7000424086
439	0.69463878
440	0.6902143507
441	0.6896526708
442	0.6851865929
443	0.6822140919
444	0.6793258495
445	0.6742333299
446	0.6694323981
447	0.6667047083
448	0.6619562943
449	0.6609604876
450	0.6573998159
451	0.6556888975
452	0.6544183569
453	0.6499552592
454	0.6491730553
455	0.645484384
456	0.6438344658
457	0.6396445261
458	0.6366851503
459	0.635194354
460	0.6310878341
461	0.6265985097
462	0.6228089788
463	0.6185271221
464	0.6153931297
465	0.6096823283
466	0.6062367221
467	0.6051590769
468	0.6030943855
469	0.5988219557
470	0.597472726
471	0.596854792
472	0.5959909832
473	0.5917414694
474	0.5897474537
475	0.5862770438
476	0.5833066263
477	0.5801827405
478	0.5796516906
479	0.5756972448
480	0.5718832418
481	0.568411982
482	0.5668560515
483	0.5632950279
484	0.5608460787
485	0.5582201602
486	0.554791886
487	0.5518323332
488	0.5479029744
489	0.5443911838
490	0.5433103289
491	0.5420435693
492	0.5381337169
493	0.5351792042
494	0.5307611651
495	0.5273091976
496	0.5241103078
497	0.519578054
498	0.515379971
499	0.5109881124
500	0.5096040034
501	0.5086322749
502	0.5048057318
503	0.500377677
504	0.499154575
505	0.4972434883
506	0.4934629901
507	0.4907667658
508	0.4884906206
509	0.4845892424
510	0.4804415729
511	0.4772449503
512	0.4763448707
513	0.4746963164
514	0.4716487652
515	0.47024432
516	0.4691734978
517	0.4679067419
518	0.464977096
519	0.4640884634
520	0.4624383126
521	0.4602321947
522	0.4591497601
523	0.4566637856
524	0.453967341
525	0.4528727483
526	0.4498851967
527	0.4470925505
528	0.4456876553
529	0.4431886334
530	0.4425489555
531	0.4386075062
532	0.4378986931
533	0.4373920845
534	0.4360832444
535	0.4327292845
536	0.4284691987
537	0.426634289
538	0.4258746025
539	0.4250266883
540	0.4242278865
541	0.4235955003
542	0.4215947381
543	0.4210696502
544	0.4182880829
545	0.4152325881
546	0.4127960488
547	0.411016515
548	0.4104553283
549	0.4074798331
550	0.4049962673
551	0.4040998933
552	0.4029841774
553	0.4011402792
554	0.4007158211
555	0.3965807311
556	0.3949405454
557	0.3923537396
558	0.391238774
559	0.3895927463
560	0.3869263905
561	0.3850331472
562	0.3836863898
563	0.380946093
564	0.3786141273
565	0.3775584652
566	0.3771319304
567	0.3750576648
568	0.3745832407
569	0.3722844314
570	0.3703382152
571	0.3689317997
572	0.3674042791
573	0.3656849157
574	0.363809367
575	0.3632629325
576	0.3623857351
577	0.3601833353
578	0.3597538898
579	0.3593976095
580	0.3572404863
581	0.356692992
582	0.3541868864
583	0.3539007859
584	0.3535680994
585	0.3524071923
586	0.3505706746
587	0.3486157526
588	0.3459765873
589	0.3439746487
590	0.3425946594
591	0.3401126862
592	0.3393239364
593	0.3369029702
594	0.3344828794
595	0.3322562273
596	0.329999392
597	0.3275747038
598	0.3251082907
599	0.3245742065
600	0.3224273263
601	0.3204999885
602	0.3192445162
603	0.3170922792
604	0.3155681034
605	0.3134271905
606	0.3116173125
607	0.311129034
608	0.3091592282
609	0.3084520084
610	0.3081653812
611	0.3073972131
612	0.3066503448
613	0.3051032862
614	0.3038552194
615	0.3015797689
616	0.301129023
617	0.2983863936
618	0.296187878
619	0.2942440349
620	0.2938138947
621	0.2920497341
622	0.2915263857
623	0.2890574336
624	0.287658417
625	0.2851567855
626	0.2846386528
627	0.2821195253
628	0.2815737861
629	0.2793845542
630	0.277710582
631	0.2753251303
632	0.2748708691
633	0.2729740565
634	0.2722253417
635	0.2700107233
636	0.2692653191
637	0.2680964272
638	0.267071778
639	0.2667326474
640	0.2662300973
641	0.2640955525
642	0.2611990601
643	0.2605212493
644	0.2598920099
645	0.2592780414
646	0.2588730024
647	0.2573141428
