iter	Passed	Remaining
0	1	12259
1	1	9686
2	2	8760
3	3	8090
4	4	8014
5	4	7982
6	5	8141
7	6	7999
8	7	7791
9	8	8401
10	9	8344
11	9	8218
12	10	8085
13	11	7945
14	11	7888
15	12	7906
16	13	7795
17	14	7766
18	14	7711
19	15	7634
20	15	7585
21	16	7541
22	17	7506
23	18	7497
24	18	7484
25	19	7659
26	20	7696
27	21	7708
28	22	7677
29	23	7721
30	24	7825
31	25	7816
32	25	7769
33	26	7727
34	27	7723
35	27	7687
36	28	7659
37	29	7636
38	29	7616
39	30	7594
40	31	7561
41	31	7576
42	32	7572
43	34	7824
44	35	7812
45	35	7771
46	36	7753
47	37	7692
48	37	7660
49	38	7633
50	39	7613
51	39	7594
52	40	7576
53	41	7557
54	41	7546
55	42	7538
56	43	7526
57	43	7527
58	44	7532
59	45	7549
60	46	7640
61	48	7814
62	49	7861
63	50	7834
64	51	7827
65	51	7802
66	52	7779
67	53	7765
68	53	7740
69	54	7722
70	55	7704
71	55	7692
72	56	7672
73	56	7643
74	57	7621
75	58	7614
76	59	7620
77	60	7634
78	60	7660
79	62	7694
80	62	7691
81	63	7667
82	63	7642
83	64	7614
84	64	7579
85	65	7543
86	65	7508
87	66	7474
88	66	7440
89	67	7406
90	67	7374
91	68	7342
92	68	7312
93	69	7281
94	69	7251
95	70	7223
96	70	7194
97	70	7166
98	71	7140
99	71	7113
100	72	7090
101	73	7083
102	73	7085
103	74	7090
104	75	7076
105	75	7064
106	76	7049
107	76	7035
108	77	7026
109	78	7018
110	78	7010
111	79	6991
112	79	6986
113	80	6977
114	81	6967
115	81	6952
116	82	6944
117	82	6936
118	83	6923
119	83	6904
120	84	6884
121	84	6864
122	85	6845
123	85	6827
124	86	6810
125	86	6791
126	87	6781
127	87	6784
128	88	6787
129	89	6779
130	89	6767
131	90	6755
132	90	6745
133	91	6729
134	91	6718
135	92	6708
136	93	6698
137	93	6687
138	94	6672
139	94	6657
140	94	6641
141	95	6624
142	95	6611
143	96	6595
144	96	6581
145	97	6566
146	97	6552
147	98	6537
148	98	6523
149	99	6510
150	99	6495
151	99	6474
152	100	6464
153	100	6451
154	101	6451
155	102	6458
156	102	6455
157	103	6449
158	104	6444
159	104	6436
160	105	6424
161	105	6412
162	106	6400
163	106	6387
164	106	6374
165	107	6362
166	107	6351
167	108	6339
168	108	6327
169	109	6318
170	109	6307
171	110	6297
172	110	6286
173	111	6275
