,cols_used,mse_val,mse_train,aggregated_shap
0,"('finbert_Score', 'bart_Score', 'vader_Score', 'mean_future', 'mean_influential')",0.0012111117830500007,0.0011354647764226784,"[[0.0029175  0.0026763  0.00354017 0.00155245 0.00117478]
 [0.00242723 0.00287651 0.00469989 0.00209067 0.00135167]
 [0.00267565 0.00303472 0.00633213 0.00188697 0.00168785]
 [0.00351229 0.00306662 0.00767852 0.00115233 0.00134383]
 [0.00363575 0.00269181 0.00801282 0.00144741 0.00117821]
 [0.00330592 0.00226237 0.00733381 0.0031631  0.00166793]
 [0.0034716  0.00290346 0.00615927 0.00494319 0.00260536]
 [0.00409087 0.0034473  0.00340997 0.0055048  0.00347212]
 [0.00450554 0.00338407 0.00278749 0.00436907 0.00381434]
 [0.00385233 0.00214543 0.0037788  0.00198475 0.00314745]]"
1,"('finbert_Score', 'bart_Score', 'mean_trustworthy', 'mean_clickbait', 'norm_rsi_14')",0.0012005985481664538,0.0013703374781764053,"[[0.00246744 0.00267985 0.00151502 0.00160121 0.00115152]
 [0.00455703 0.00183681 0.00166255 0.00109028 0.00111582]
 [0.00645129 0.00155282 0.00253467 0.00097811 0.00107938]
 [0.0078981  0.00242283 0.00319203 0.00086379 0.00098572]
 [0.00796909 0.00291804 0.00351786 0.00121419 0.00063448]
 [0.00609513 0.00320628 0.00379107 0.00151416 0.00056947]
 [0.00292267 0.00284198 0.00329535 0.00168233 0.00166481]
 [0.00277817 0.00230122 0.00218206 0.0016991  0.00277604]
 [0.00607116 0.00123882 0.0013837  0.00132726 0.00322756]
 [0.00651822 0.00095422 0.00094827 0.00088073 0.00251023]]"
2,"('finbert_Score', 'bart_Score', 'norm_rsi_gspc_14', 'norm_slowk_14', 'norm_roc_14')",0.0013430980034172535,0.0008746506047980059,"[[0.00260196 0.00293656 0.00545868 0.00335893 0.00113759]
 [0.00198846 0.00266494 0.0039435  0.00247708 0.00075455]
 [0.0025935  0.00189049 0.00253614 0.0018328  0.00106414]
 [0.003562   0.00169431 0.00134234 0.00121521 0.00126927]
 [0.00411916 0.00177315 0.00118253 0.00094334 0.00139405]
 [0.00347558 0.00247759 0.00177808 0.00129692 0.00124816]
 [0.00274287 0.00300407 0.00182871 0.00187749 0.00088146]
 [0.00247264 0.0034286  0.00122052 0.00221235 0.00056797]
 [0.0038893  0.00311666 0.00052894 0.00257831 0.00065848]
 [0.00404781 0.00228064 0.00054776 0.00230422 0.0007919 ]]"
3,"('finbert_Score', 'bart_Score', 'minmax_BA_Volume', 'log_return_5', 'log_return_1')",0.0011297150049358606,0.0010001065258885338,"[[0.00344036 0.00284407 0.00261901 0.00063589 0.00042289]
 [0.00335938 0.00219001 0.00258101 0.00087426 0.00052514]
 [0.00390694 0.00221789 0.00263223 0.00129257 0.00054538]
 [0.00480449 0.00280409 0.00275393 0.00136966 0.0005316 ]
 [0.00565748 0.00383373 0.00300539 0.00115067 0.0004487 ]
 [0.00625553 0.00417325 0.00311963 0.00076902 0.00032838]
 [0.00516028 0.00366832 0.00284831 0.00056473 0.00038672]
 [0.00254489 0.00324341 0.00209669 0.00067736 0.00035269]
 [0.00200256 0.00153496 0.00153527 0.0006347  0.0002757 ]
 [0.0038529  0.00052924 0.00222086 0.00029828 0.00018697]]"
4,"('finbert_Score', 'bart_Score', 'EURUSD=X_Close', 'minmax_daily_variation', 'minmax_high_close_pressure')",0.0010118025820702314,0.0015027502914977148,"[[1.51562844e-03 2.88658218e-03 1.21607885e-04 2.98419500e-03
  1.41080265e-03]
 [1.50562701e-03 1.93352676e-03 1.20002699e-04 2.65166155e-03
  1.52093835e-03]
 [1.55657424e-03 1.13828557e-03 1.06049050e-04 2.33929421e-03
  1.27125138e-03]
 [2.10324105e-03 1.08898890e-03 8.82124868e-05 1.61620865e-03
  1.17834778e-03]
 [2.35091924e-03 1.31745853e-03 7.19345258e-05 9.56308502e-04
  1.09924107e-03]
 [2.31904079e-03 1.28121569e-03 8.44538789e-05 7.52551245e-04
  7.13116900e-04]
 [1.57157648e-03 1.09142263e-03 1.06204522e-04 9.56864230e-04
  7.70574970e-04]
 [1.85745047e-03 9.75257776e-04 1.41946819e-04 9.68193454e-04
  9.79418153e-04]
 [4.57126111e-03 6.08553113e-04 1.84440124e-04 8.21939853e-04
  1.30927483e-03]
 [5.41600010e-03 2.53338824e-04 1.97080134e-04 1.22948436e-03
  1.19663074e-03]]"
5,"('finbert_Score', 'bart_Score', 'minmax_low_open_pressure', 'minmax_low_norm', 'minmax_close_norm')",0.001121519017033279,0.001017361735721802,"[[0.0019855  0.00317539 0.00112217 0.01077192 0.00566249]
 [0.0019365  0.00341565 0.00074895 0.00981754 0.00712031]
 [0.00157161 0.00327176 0.00122774 0.00857969 0.00744115]
 [0.00342579 0.00302592 0.0015188  0.00693312 0.00682653]
 [0.00500855 0.00278363 0.00153374 0.00537843 0.00536939]
 [0.00549523 0.00244827 0.00120159 0.00366894 0.00272054]
 [0.00431918 0.00190694 0.0008905  0.0019318  0.00098312]
 [0.00246902 0.00176302 0.0007848  0.00144444 0.00290071]
 [0.00387994 0.00163149 0.0007567  0.00224919 0.00408066]
 [0.00431403 0.00150662 0.00064275 0.00209745 0.00327257]]"
6,"('finbert_Score', 'vader_Score', 'mean_trustworthy', 'norm_rsi_gspc_14', 'minmax_BA_Volume')",0.0009793181670829654,0.0011177131064213097,"[[0.00496187 0.00399872 0.0038806  0.00373605 0.00418515]
 [0.00266508 0.00567778 0.00357726 0.00367534 0.00370376]
 [0.00357953 0.00700759 0.00362219 0.0029439  0.00324327]
 [0.00447863 0.00859614 0.00321144 0.00178012 0.00271564]
 [0.00482258 0.00764714 0.0024609  0.00128538 0.00212591]
 [0.00487164 0.00688501 0.00212658 0.00273225 0.00141122]
 [0.00431173 0.00638784 0.0022769  0.00392911 0.00082335]
 [0.00350618 0.00567411 0.00224656 0.00374312 0.00112549]
 [0.00283276 0.00519706 0.00236377 0.00207382 0.00133532]
 [0.00197611 0.00444053 0.00196766 0.00041483 0.0015422 ]]"
7,"('finbert_Score', 'vader_Score', 'mean_clickbait', 'norm_slowk_14', 'log_return_5')",0.0013137060450389981,0.0009176565709757408,"[[0.00186152 0.00305464 0.00121964 0.00660628 0.00112758]
 [0.00258884 0.00416902 0.00102007 0.00543228 0.00075106]
 [0.00284655 0.00526556 0.00135601 0.00390062 0.00057912]
 [0.00331235 0.00643124 0.0017146  0.00264259 0.0007212 ]
 [0.00420044 0.00608589 0.00225985 0.00206731 0.0007443 ]
 [0.00500906 0.00462201 0.00275963 0.00230996 0.00066781]
 [0.00468187 0.00357281 0.00340473 0.00359211 0.00060235]
 [0.0038965  0.0025649  0.00406066 0.00366133 0.00048726]
 [0.0029896  0.0026858  0.00430032 0.00277098 0.0003736 ]
 [0.00335223 0.00230711 0.00315496 0.00155179 0.00026944]]"
8,"('finbert_Score', 'vader_Score', 'norm_rsi_14', 'norm_roc_14', 'log_return_1')",0.0014396309852600098,0.0008724394212758035,"[[0.003074   0.0036699  0.00169253 0.00309881 0.00036437]
 [0.00279712 0.00399611 0.00226361 0.00251649 0.00065486]
 [0.00386528 0.00454021 0.00273027 0.00182753 0.00089903]
 [0.00442349 0.00504913 0.0030519  0.00155647 0.00105166]
 [0.0043401  0.00502152 0.00317715 0.00183378 0.00102418]
 [0.00439462 0.00455579 0.00303221 0.00174971 0.00075186]
 [0.00404998 0.00474859 0.00247959 0.00150564 0.0004239 ]
 [0.00381542 0.00527878 0.00157033 0.00142911 0.00065061]
 [0.00300391 0.00695366 0.00083267 0.00145542 0.00121598]
 [0.00249837 0.00831859 0.00076951 0.00120691 0.00140738]]"
9,"('finbert_Score', 'vader_Score', 'EURUSD=X_Close', 'minmax_low_open_pressure', 'minmax_high_norm')",0.001359438756480813,0.0015142397762596285,"[[2.97476679e-03 3.22745517e-03 1.52332227e-04 3.18550354e-04
  9.04138423e-04]
 [3.74238966e-03 4.29120585e-03 1.43872949e-04 2.66482450e-04
  8.90867282e-04]
 [4.80777402e-03 4.94930626e-03 1.29229100e-04 4.54376308e-04
  1.01511854e-03]
 [5.37046568e-03 5.35108513e-03 1.07970434e-04 7.21931914e-04
  1.13469418e-03]
 [5.58167652e-03 5.09280060e-03 8.07934207e-05 9.66462950e-04
  1.20768232e-03]
 [5.18298380e-03 4.42466958e-03 4.51500406e-05 1.18873915e-03
  1.14164169e-03]
 [3.38537773e-03 3.46066852e-03 4.44712260e-05 1.22629973e-03
  9.32472400e-04]
 [1.20608064e-03 2.17801389e-03 1.01996766e-04 1.13489908e-03
  6.93625082e-04]
 [2.70171627e-03 1.26820945e-03 1.35105869e-04 8.82726759e-04
  5.97140330e-04]
 [4.47417102e-03 1.65543238e-03 9.46527814e-05 4.96243965e-04
  7.02518844e-04]]"
