,cols_used,mse_val,mse_train,aggregated_shap
0,"('finbert_Score', 'bart_Score', 'vader_Score', 'mean_future', 'mean_influential')",0.0008637608760701758,0.0008495970681117839,"[[0.00334477 0.002382   0.00787764 0.00397292 0.00350261]
 [0.00424455 0.00314945 0.00728728 0.00464424 0.0042719 ]
 [0.00544265 0.00398796 0.00602841 0.00504245 0.00426404]
 [0.0060746  0.00465182 0.00495628 0.00530327 0.00387986]
 [0.00573845 0.00502266 0.00327802 0.00507514 0.00305035]
 [0.00552965 0.00494329 0.00404573 0.00454585 0.00237862]
 [0.00517906 0.00470172 0.00472542 0.00392006 0.00199797]
 [0.00494225 0.00418278 0.00686168 0.00298437 0.00153342]
 [0.00549451 0.00358059 0.00716152 0.00239044 0.00135675]
 [0.00603316 0.00281734 0.00705206 0.00189834 0.0014078 ]
 [0.00642636 0.00211967 0.00619687 0.00183648 0.00171771]
 [0.00642635 0.00211889 0.00552411 0.00172776 0.00203464]
 [0.00638038 0.00199473 0.00551714 0.00152746 0.00207246]
 [0.00451829 0.00163897 0.00509674 0.00111534 0.00140181]]"
1,"('finbert_Score', 'bart_Score', 'mean_trustworthy', 'mean_clickbait', 'norm_rsi_14')",0.000896391600170838,0.0006739109863982788,"[[0.0041058  0.00434812 0.00141597 0.00167767 0.00596971]
 [0.00356768 0.00626659 0.00175652 0.00171319 0.00386096]
 [0.00355501 0.00889021 0.00369663 0.00171109 0.00269107]
 [0.00445274 0.01017197 0.00558374 0.00156312 0.00253961]
 [0.00629907 0.0102599  0.00667427 0.00125447 0.00230871]
 [0.00711924 0.00958719 0.00736284 0.00104354 0.00206378]
 [0.00754499 0.008611   0.00700761 0.00088963 0.00187832]
 [0.00672546 0.00752269 0.00592454 0.00051944 0.00207515]
 [0.00535165 0.00626714 0.00453801 0.0004235  0.00235237]
 [0.00488306 0.00501324 0.00301538 0.00112991 0.00262341]
 [0.00545406 0.00397094 0.00130683 0.00187505 0.00306302]
 [0.00622012 0.00278978 0.00192168 0.00222445 0.00326855]
 [0.00694636 0.00184355 0.00346824 0.00205624 0.00252149]
 [0.00648804 0.00173854 0.00360142 0.00112029 0.00073279]]"
2,"('finbert_Score', 'bart_Score', 'norm_rsi_gspc_14', 'norm_slowk_14', 'norm_roc_14')",0.0009125194379261561,0.0007139035830845808,"[[0.00492387 0.00152265 0.00148476 0.00278267 0.00694533]
 [0.00677288 0.00147618 0.00142383 0.00304301 0.00565209]
 [0.006777   0.00224131 0.00117325 0.00295142 0.0040177 ]
 [0.00630401 0.00377316 0.00090483 0.00294737 0.00232144]
 [0.00515474 0.00435829 0.00072577 0.00299818 0.00146433]
 [0.00353394 0.00471945 0.00091457 0.00247454 0.00237909]
 [0.00296949 0.00402231 0.00126532 0.00252044 0.0033672 ]
 [0.00374418 0.00289458 0.0015703  0.0030372  0.00401737]
 [0.00514671 0.00159254 0.00180986 0.00394641 0.00416164]
 [0.0072285  0.00121064 0.00188974 0.00495765 0.00358687]
 [0.00855997 0.0017424  0.001598   0.0055088  0.00240466]
 [0.00799978 0.00238466 0.0010201  0.00540818 0.00098352]
 [0.00671808 0.00257427 0.00131823 0.00426206 0.00122768]
 [0.00510658 0.00257531 0.00203285 0.0029669  0.00170799]]"
3,"('finbert_Score', 'bart_Score', 'minmax_BTC-USD_Volume', 'log_return_7', 'log_return_1')",0.0009326905558174033,0.0008878930091614088,"[[0.00574522 0.00255544 0.00144419 0.00094633 0.00017416]
 [0.00613515 0.00282544 0.00121274 0.00120993 0.00020139]
 [0.00684454 0.00293825 0.00130162 0.00137272 0.00022522]
 [0.0079908  0.00357798 0.00154913 0.00135618 0.00039907]
 [0.00838428 0.00372613 0.00192826 0.00144267 0.00066285]
 [0.00806823 0.00382283 0.00253676 0.00172536 0.00088546]
 [0.00722363 0.00348144 0.00316338 0.00220143 0.00113482]
 [0.00606877 0.00307628 0.0036946  0.00279393 0.00112874]
 [0.00493214 0.00255899 0.00395273 0.00319673 0.00099585]
 [0.00407994 0.0019916  0.0038906  0.00334917 0.000666  ]
 [0.0033031  0.00155073 0.00330292 0.00329447 0.00025851]
 [0.00343988 0.00102899 0.00232181 0.00310632 0.00072574]
 [0.00310797 0.00105399 0.00124999 0.00285924 0.00132318]
 [0.00280215 0.00137869 0.00053682 0.00232812 0.00132605]]"
4,"('finbert_Score', 'bart_Score', 'EURUSD=X_Close', 'minmax_daily_variation', 'minmax_high_close_pressure')",0.0008998374521200146,0.001516866188920043,"[[0.00594086 0.00414591 0.00062345 0.00179055 0.00179317]
 [0.00707563 0.00492224 0.0006469  0.00267379 0.00238743]
 [0.00807511 0.00506392 0.00064858 0.00460796 0.00482802]
 [0.00886307 0.00509726 0.00061635 0.00621601 0.00656138]
 [0.0081483  0.0051891  0.00053437 0.00756053 0.0077049 ]
 [0.00759919 0.00524036 0.00041906 0.00800255 0.00818489]
 [0.00659605 0.00487564 0.00031762 0.00727833 0.00786632]
 [0.00538063 0.00446295 0.00027128 0.00635135 0.00743305]
 [0.00473761 0.00351896 0.00028225 0.00527307 0.00663484]
 [0.00444857 0.00286427 0.00032562 0.0037697  0.00563915]
 [0.00460981 0.00199858 0.00041259 0.00257877 0.00465854]
 [0.00533671 0.00137755 0.00044051 0.00151999 0.00380891]
 [0.00619864 0.00139741 0.00039248 0.00069433 0.00306553]
 [0.00492225 0.00103283 0.00029251 0.00040558 0.0023731 ]]"
5,"('finbert_Score', 'bart_Score', 'minmax_low_open_pressure', 'minmax_low_norm', 'minmax_close_norm')",0.000848078329692639,0.0008007046939453406,"[[0.00566224 0.00309635 0.00173885 0.00112137 0.00247005]
 [0.00669615 0.00470175 0.00195221 0.00096834 0.00198229]
 [0.00802674 0.00637812 0.00202792 0.00073441 0.00136853]
 [0.00857894 0.00740051 0.00186111 0.00059616 0.00105518]
 [0.00965293 0.00765886 0.00145233 0.00057996 0.00099903]
 [0.01034459 0.0067346  0.00098842 0.00075342 0.00095874]
 [0.00961442 0.00578481 0.00052876 0.00102181 0.00097668]
 [0.00872857 0.00402451 0.00032875 0.00129183 0.00108463]
 [0.00784885 0.00272982 0.00043217 0.00149533 0.0012019 ]
 [0.00594276 0.00239179 0.00057807 0.00151778 0.00123008]
 [0.00433359 0.00235064 0.00056752 0.00127675 0.00107485]
 [0.00401372 0.00228634 0.00044654 0.00090845 0.00096845]
 [0.00440265 0.00179644 0.00040289 0.00058588 0.00095381]
 [0.00381793 0.00122227 0.00040578 0.00051349 0.00082249]]"
6,"('finbert_Score', 'vader_Score', 'mean_trustworthy', 'norm_rsi_gspc_14', 'minmax_BTC-USD_Volume')",0.0010045230155810714,0.0006859868279230569,"[[0.00521669 0.00518003 0.00570198 0.00130488 0.00271125]
 [0.00656006 0.00608405 0.00645574 0.00140729 0.00215441]
 [0.00719329 0.00693205 0.00610436 0.00157939 0.00171881]
 [0.00845201 0.00750504 0.0063221  0.00185842 0.00139391]
 [0.00888619 0.00811998 0.00632172 0.00206208 0.00138317]
 [0.00901141 0.00855356 0.00679957 0.00227536 0.00156438]
 [0.00808867 0.00882894 0.00694436 0.00251633 0.00196408]
 [0.00677965 0.00790262 0.00603172 0.00258933 0.00250024]
 [0.00552743 0.0060719  0.00474831 0.00237898 0.00290995]
 [0.0053451  0.00538811 0.00303366 0.00177312 0.00314979]
 [0.00531522 0.00479995 0.00129938 0.00073606 0.0032379 ]
 [0.00496899 0.00593003 0.00188295 0.00085905 0.0031522 ]
 [0.0043543  0.00734447 0.00367964 0.001953   0.00275074]
 [0.0026012  0.00644657 0.00396655 0.00217527 0.00199754]]"
7,"('finbert_Score', 'vader_Score', 'mean_clickbait', 'norm_slowk_14', 'log_return_7')",0.0008639372646852973,0.0006045058625450462,"[[0.00460155 0.00524529 0.00178262 0.00650465 0.00473818]
 [0.00457222 0.00557627 0.00187365 0.00742027 0.00425854]
 [0.00529769 0.00537797 0.00216212 0.00823601 0.00392388]
 [0.00669849 0.00565365 0.00247551 0.00831614 0.0034599 ]
 [0.00794764 0.00571968 0.00264617 0.00776325 0.00311187]
 [0.00900299 0.00498695 0.00291679 0.00667016 0.00287567]
 [0.00971576 0.00440763 0.00306878 0.00505851 0.00262714]
 [0.01011676 0.00377194 0.00297404 0.00370452 0.00219448]
 [0.01016781 0.00374944 0.00258872 0.00310065 0.00153742]
 [0.00956586 0.00354947 0.00210751 0.00308876 0.00097797]
 [0.00852956 0.00443041 0.00144784 0.00334952 0.00072455]
 [0.00734934 0.00615762 0.00091023 0.00317033 0.00129631]
 [0.00713245 0.00647406 0.00074326 0.00263465 0.00194003]
 [0.00547269 0.00578684 0.00067535 0.00234406 0.00172396]]"
8,"('finbert_Score', 'vader_Score', 'norm_rsi_14', 'norm_roc_14', 'log_return_1')",0.0007741675418358119,0.0005404369642282536,"[[0.00539655 0.0045566  0.00128891 0.00372083 0.00046267]
 [0.00694425 0.00488345 0.00157389 0.00381389 0.00037745]
 [0.00867244 0.0049496  0.00169    0.00404401 0.00040407]
 [0.00971331 0.00463076 0.00150376 0.00461079 0.00045104]
 [0.00960345 0.00338377 0.00116899 0.00477033 0.00050301]
 [0.00971113 0.00264524 0.00086193 0.00458809 0.00057179]
 [0.0086599  0.00302401 0.0008552  0.00433845 0.00068864]
 [0.00729877 0.00334173 0.00102765 0.00426013 0.00074344]
 [0.00729661 0.00369206 0.00114577 0.0042599  0.00083821]
 [0.00870996 0.00530503 0.00106852 0.00422773 0.00094047]
 [0.00956492 0.00785281 0.00086203 0.00383325 0.00087549]
 [0.00974992 0.01097804 0.00102443 0.00281125 0.00055515]
 [0.00839489 0.01050574 0.001495   0.0016878  0.00022658]
 [0.0048667  0.00655535 0.00142523 0.00104001 0.00015784]]"
9,"('finbert_Score', 'vader_Score', 'EURUSD=X_Close', 'minmax_low_open_pressure', 'minmax_high_norm')",0.0009302855025799502,0.0004784397899808738,"[[0.00559256 0.00450621 0.0002163  0.00036143 0.0026216 ]
 [0.00633629 0.0051438  0.00026679 0.00036101 0.00294029]
 [0.00736517 0.00512633 0.00030181 0.00040582 0.0028255 ]
 [0.00810999 0.00457538 0.00032603 0.00045216 0.0025147 ]
 [0.00914399 0.00429997 0.00034617 0.00053918 0.00205299]
 [0.00924529 0.00482493 0.00038809 0.00068113 0.00198416]
 [0.00844497 0.00633158 0.00051177 0.00080118 0.00231548]
 [0.00689052 0.00681172 0.00063446 0.00091127 0.002695  ]
 [0.00616322 0.00688412 0.00073933 0.00093256 0.00303185]
 [0.00498962 0.00626577 0.00075721 0.00079545 0.00326207]
 [0.00614022 0.00552968 0.00067973 0.0005672  0.00294773]
 [0.00756703 0.0044436  0.00051867 0.000311   0.00216976]
 [0.0074386  0.0048943  0.00032696 0.00023187 0.0013853 ]
 [0.0046481  0.00477294 0.00021446 0.00023287 0.00086144]]"
