,cols_used,mse_val,mse_train,aggregated_shap
0,"['vader_Score', 'mean_future', 'mean_trustworthy', 'mean_clickbait', 'norm_roc_14']",0.0008931314583779,0.0008739442484605,"[[0.00471726, 0.0057685, 0.00449571, 0.00419063, 0.00338869], [0.00490596, 0.00677752, 0.00461224, 0.00486152, 0.00456723], [0.00422027, 0.00697484, 0.0046489, 0.0050877, 0.00536864], [0.00334018, 0.00670026, 0.00506898, 0.00530756, 0.0055173], [0.0045236, 0.00675085, 0.0042228, 0.00477733, 0.00513608], [0.0055702, 0.00681188, 0.00339093, 0.00457228, 0.00442799], [0.00597891, 0.00671734, 0.00256591, 0.00448154, 0.00362219], [0.00541367, 0.0068048, 0.00275714, 0.00444619, 0.00325161], [0.00451867, 0.00652429, 0.00365285, 0.00413194, 0.0037486], [0.00448716, 0.00524564, 0.00454422, 0.00324118, 0.00468411], [0.00667396, 0.00409994, 0.00689128, 0.00208106, 0.00463048], [0.00891708, 0.00271629, 0.00857755, 0.0013985, 0.00370237], [0.01131676, 0.00137578, 0.00919095, 0.0013965, 0.00280943], [0.01038889, 0.00059978, 0.00706214, 0.00150634, 0.00194379]]"
1,"['vader_Score', 'mean_future', 'norm_rsi_14', 'norm_rsi_gspc_14', 'norm_slowk_14']",0.0007010466679708,0.0010174703479508,"[[0.00536672, 0.00372176, 0.01120727, 0.00727684, 0.0086181], [0.00694108, 0.00458185, 0.00943088, 0.00663069, 0.00828256], [0.00702186, 0.00465112, 0.00788385, 0.00605056, 0.00731253], [0.00609357, 0.00448596, 0.00685055, 0.00543356, 0.00586095], [0.00477487, 0.00401192, 0.00600633, 0.00510052, 0.00583387], [0.00395461, 0.00344872, 0.00481591, 0.00482862, 0.00639345], [0.00377512, 0.00262563, 0.00346916, 0.00445619, 0.00727346], [0.00508321, 0.00194587, 0.00221855, 0.00389233, 0.00794917], [0.00580549, 0.00170054, 0.00178533, 0.00325906, 0.00800489], [0.00535632, 0.00226266, 0.00271093, 0.00252665, 0.00724849], [0.00509055, 0.00293421, 0.00406849, 0.0018994, 0.00653464], [0.00437989, 0.00322103, 0.00483376, 0.0019385, 0.0054868], [0.00293459, 0.00309177, 0.00451057, 0.00277717, 0.00464314], [0.00182423, 0.00221956, 0.00287758, 0.00330498, 0.0035825]]"
2,"['vader_Score', 'mean_future', 'minmax_BTC-USD_Volume', 'log_return_7', 'EURUSD=X_Close']",0.0010633352766966,0.0012189465932909,"[[0.00709977, 0.00681175, 0.00253557, 0.00280346, 0.0001177], [0.00840881, 0.00742898, 0.00246256, 0.00280639, 0.00013557], [0.00844022, 0.00844549, 0.00228307, 0.0025092, 0.00015984], [0.00866616, 0.00815415, 0.00198333, 0.00216776, 0.00018788], [0.00895838, 0.00703789, 0.00179467, 0.00193211, 0.00020348], [0.00836661, 0.00585521, 0.00164286, 0.00169825, 0.00020466], [0.00643239, 0.00481724, 0.00157903, 0.00164468, 0.00019452], [0.00468282, 0.00362493, 0.00160748, 0.00170692, 0.00018763], [0.00399258, 0.00341642, 0.00169594, 0.00174507, 0.00017777], [0.00576871, 0.00386602, 0.00172908, 0.00168512, 0.00017437], [0.00746499, 0.00505058, 0.00159568, 0.00153488, 0.00019331], [0.00975432, 0.00620545, 0.00139095, 0.00118976, 0.0002415], [0.0097448, 0.0065894, 0.00093096, 0.00094156, 0.00028717], [0.00746722, 0.0054693, 0.00034892, 0.00059331, 0.00029314]]"
3,"['vader_Score', 'mean_future', 'log_return_1', 'minmax_high_close_pressure', 'minmax_open_norm']",0.0010152405870723,0.0014909481911524,"[[0.00315642, 0.00308395, 0.00084382, 0.00540254, 0.00407032], [0.00394025, 0.00320775, 0.00104697, 0.00465149, 0.00329531], [0.00423987, 0.00314413, 0.00128458, 0.00304984, 0.00241688], [0.00485833, 0.00324976, 0.00166926, 0.00213009, 0.00157961], [0.0060853, 0.00342832, 0.00213426, 0.00264171, 0.00131395], [0.00678604, 0.00388582, 0.00191599, 0.00465145, 0.00155861], [0.00663047, 0.0037319, 0.0020106, 0.00611639, 0.00281851], [0.00646949, 0.00297647, 0.00265217, 0.00647024, 0.00375261], [0.00524739, 0.00253436, 0.00288351, 0.00575721, 0.00421373], [0.0038903, 0.00215701, 0.00260711, 0.00409891, 0.00409369], [0.00271507, 0.00331197, 0.00231404, 0.00256585, 0.00340029], [0.00294809, 0.00506502, 0.00223114, 0.00154298, 0.00237429], [0.00451072, 0.00575571, 0.00198374, 0.0017634, 0.00140695], [0.00433068, 0.00454143, 0.00123915, 0.00240258, 0.00070875]]"
4,"['vader_Score', 'mean_influential', 'mean_trustworthy', 'norm_rsi_14', 'minmax_low_open_pressure']",0.0008729807145538,0.0022198151704123,"[[0.00592792, 0.00308512, 0.00463197, 0.00513052, 0.00088536], [0.00563711, 0.00429294, 0.00632466, 0.00309429, 0.00091552], [0.00565679, 0.00392751, 0.00576289, 0.00244928, 0.00099835], [0.00648178, 0.00325273, 0.00488813, 0.00316437, 0.0010536], [0.00700363, 0.00342386, 0.00458285, 0.00350227, 0.00113585], [0.00752992, 0.00359332, 0.00495399, 0.00441723, 0.00129496], [0.00744063, 0.00392858, 0.00529413, 0.00515687, 0.00139676], [0.00727629, 0.00377733, 0.00471755, 0.00561448, 0.00157392], [0.00657861, 0.00329307, 0.0041194, 0.00577897, 0.00174901], [0.00593731, 0.00313248, 0.00449807, 0.00565793, 0.00184027], [0.00639865, 0.00325199, 0.00576471, 0.00494435, 0.0019362], [0.00973169, 0.00287641, 0.00656895, 0.00421142, 0.00188129], [0.01214278, 0.0021139, 0.00640864, 0.00309334, 0.00173484], [0.01089231, 0.00171613, 0.00527699, 0.00159281, 0.00103256]]"
5,"['vader_Score', 'mean_influential', 'mean_clickbait', 'EURUSD=X_Close', 'minmax_daily_variation']",0.0008641410995984,0.0013245087268846,"[[0.0066881, 0.00248447, 0.001964, 0.0002592, 0.00178335], [0.0063474, 0.00383448, 0.00197793, 0.00029706, 0.00209703], [0.00779085, 0.00505745, 0.00168039, 0.0003242, 0.00236711], [0.00723706, 0.00620288, 0.0017151, 0.00034229, 0.00246244], [0.00687835, 0.00621388, 0.00163835, 0.00035763, 0.0022735], [0.00658367, 0.00730754, 0.0016855, 0.00036513, 0.00205402], [0.0058831, 0.00647871, 0.00184147, 0.00036485, 0.00161154], [0.00513497, 0.00545562, 0.00212949, 0.00036084, 0.00140868], [0.00489459, 0.00405148, 0.00189581, 0.00034409, 0.00128372], [0.0047777, 0.00357013, 0.00195751, 0.00028526, 0.00156892], [0.0047433, 0.00452638, 0.0016643, 0.00020635, 0.00175369], [0.00666484, 0.00604895, 0.00178917, 0.0002122, 0.00169357], [0.01004729, 0.007339, 0.00157541, 0.00035586, 0.00138489], [0.01162555, 0.00654387, 0.00097828, 0.00030729, 0.0007799]]"
6,"['vader_Score', 'mean_influential', 'norm_rsi_gspc_14', 'norm_roc_14', 'minmax_high_close_pressure']",0.0010618714593528,0.0010246512931751,"[[0.00484233, 0.00217462, 0.00400974, 0.00342048, 0.00478571], [0.00521361, 0.00287062, 0.00359323, 0.00345243, 0.00492981], [0.00689044, 0.00364857, 0.00312319, 0.00327573, 0.00560004], [0.00911401, 0.00418067, 0.00265669, 0.00292083, 0.00714046], [0.01106239, 0.00501844, 0.00271166, 0.00230209, 0.00904657], [0.01150695, 0.00570967, 0.00286021, 0.00161886, 0.01050832], [0.01106486, 0.00563845, 0.00289005, 0.001952, 0.01105329], [0.00931862, 0.00471597, 0.00267131, 0.00355014, 0.01036682], [0.00750365, 0.00298969, 0.00232692, 0.0051082, 0.008776], [0.00560159, 0.00198794, 0.00178657, 0.00609493, 0.0064833], [0.00445325, 0.003055, 0.0019036, 0.00603936, 0.0040047], [0.00615929, 0.00506226, 0.00261251, 0.00492468, 0.00188209], [0.00706302, 0.00608356, 0.00365461, 0.00341744, 0.00097056], [0.00531604, 0.00482421, 0.00361126, 0.00206014, 0.00189088]]"
7,"['vader_Score', 'mean_influential', 'norm_slowk_14', 'minmax_BTC-USD_Volume', 'minmax_low_norm']",0.000987266351114,0.0007282523103577,"[[0.00340257, 0.00405411, 0.00645984, 0.00373002, 0.00153662], [0.00303059, 0.00418392, 0.00720133, 0.00373464, 0.00152078], [0.00351813, 0.00334493, 0.00692221, 0.00344641, 0.00130546], [0.00415629, 0.0024564, 0.005748, 0.00305386, 0.00101284], [0.00549182, 0.00261633, 0.00420429, 0.00253053, 0.00073414], [0.00612461, 0.00380964, 0.0029386, 0.00211921, 0.00084076], [0.00607425, 0.00425145, 0.00263168, 0.00169492, 0.00106678], [0.00500705, 0.00356703, 0.00324346, 0.00143462, 0.00118275], [0.00383064, 0.00178102, 0.00364092, 0.0015257, 0.00107031], [0.00314982, 0.00197756, 0.00344922, 0.00164015, 0.00074265], [0.00549055, 0.00442216, 0.00325657, 0.00179871, 0.00064408], [0.01046111, 0.0072404, 0.00324813, 0.00205267, 0.00166503], [0.01334995, 0.00844004, 0.00351396, 0.00223864, 0.00261996], [0.01152019, 0.00695459, 0.00333614, 0.00199917, 0.00242857]]"
8,"['vader_Score', 'mean_influential', 'log_return_7', 'minmax_high_norm', 'minmax_open_norm']",0.0009577278258456,0.0010799293440282,"[[0.00512585, 0.00401632, 0.00379537, 0.00712611, 0.00115672], [0.00614161, 0.00446098, 0.00419445, 0.00711965, 0.00159939], [0.00817407, 0.0041833, 0.00437315, 0.00624039, 0.00197552], [0.00952994, 0.0044127, 0.00451784, 0.00473122, 0.00218024], [0.01114326, 0.0048796, 0.00434641, 0.00294193, 0.0020183], [0.01209843, 0.00579604, 0.00377211, 0.00179571, 0.00157562], [0.01207299, 0.00585021, 0.00295381, 0.00332412, 0.00101205], [0.01062737, 0.00498382, 0.00220439, 0.00489786, 0.00103818], [0.008061, 0.00357909, 0.00189701, 0.00554104, 0.00161339], [0.00582155, 0.00257061, 0.00221558, 0.00516683, 0.00216916], [0.00736085, 0.00369481, 0.00249131, 0.00401723, 0.00251137], [0.01087293, 0.00569375, 0.00240258, 0.00219496, 0.00258028], [0.01278149, 0.0071978, 0.00173909, 0.00083644, 0.0020731], [0.01166973, 0.00609257, 0.00086046, 0.00123824, 0.00108399]]"
9,"['vader_Score', 'mean_trustworthy', 'log_return_7', 'log_return_1', 'minmax_low_norm']",0.0008670432005254,0.0010822960887555,"[[0.00722028, 0.00531906, 0.00253326, 0.00041805, 0.00229761], [0.00824092, 0.00683911, 0.00251602, 0.00043608, 0.00239407], [0.00901735, 0.00703059, 0.00264026, 0.00041781, 0.00231929], [0.00929411, 0.00683615, 0.00324324, 0.00039269, 0.00210294], [0.0098363, 0.00696604, 0.00386435, 0.00037052, 0.00163272], [0.00956328, 0.00666694, 0.00425961, 0.00033023, 0.00122569], [0.00797253, 0.00640835, 0.00432919, 0.00030497, 0.00100414], [0.00666472, 0.0056256, 0.0042516, 0.00028515, 0.00089678], [0.00499036, 0.00403067, 0.00384821, 0.00027291, 0.00080305], [0.00500159, 0.00382016, 0.00317655, 0.00025885, 0.00068598], [0.00616781, 0.00669947, 0.00234971, 0.00039717, 0.00065193], [0.00857301, 0.00991435, 0.00169286, 0.00046799, 0.00060508], [0.01112944, 0.0118021, 0.00162303, 0.00044367, 0.00039077], [0.01271031, 0.01025819, 0.00183613, 0.00028335, 0.00023733]]"
