,cols_used,mse_val,mse_train,aggregated_shap
0,"('finbert_Score', 'bart_Score', 'vader_Score', 'mean_future', 'mean_influential')",0.0005520109552890062,0.0037406643547316662,"[[0.00334101 0.00086022 0.00272041 0.0008534  0.00071748]
 [0.00247227 0.00092608 0.00300829 0.00134437 0.0008231 ]
 [0.00299586 0.0012032  0.00273396 0.00170286 0.00082035]
 [0.00255416 0.00083743 0.00279567 0.0019715  0.00089572]
 [0.00224456 0.00058791 0.00287114 0.00183734 0.00107431]
 [0.00281655 0.00044906 0.00338878 0.00141638 0.00127184]
 [0.00377919 0.00040367 0.00334485 0.00093315 0.00130286]
 [0.00403365 0.00070486 0.00349164 0.00092132 0.0009491 ]
 [0.00559384 0.00072809 0.00428673 0.00230907 0.00109947]
 [0.00454289 0.00046625 0.00442079 0.00284504 0.00090038]]"
1,"('finbert_Score', 'bart_Score', 'mean_trustworthy', 'mean_clickbait', 'norm_rsi_14')",0.0010820438619703054,0.0036215479846109545,"[[0.00249921 0.00062051 0.0011217  0.00027116 0.00157091]
 [0.00242944 0.00054934 0.00106974 0.00031043 0.00123385]
 [0.00266118 0.00057054 0.0010728  0.00035051 0.00083779]
 [0.0034464  0.00052444 0.00123047 0.00047612 0.00097821]
 [0.00396375 0.00054407 0.00114058 0.00071042 0.00112722]
 [0.00422775 0.00047971 0.00101902 0.00098303 0.0014156 ]
 [0.00339983 0.00024284 0.00097496 0.00116913 0.00151097]
 [0.00202976 0.00017072 0.0009681  0.00105392 0.00122777]
 [0.00162561 0.00063    0.00106039 0.00071183 0.00073863]
 [0.00244226 0.0007946  0.00108954 0.00014242 0.00060943]]"
2,"('finbert_Score', 'bart_Score', 'norm_rsi_gspc_14', 'norm_slowk_14', 'norm_roc_14')",0.0006761765689589083,0.0017680731844755275,"[[0.00428472 0.00055875 0.00365456 0.00406321 0.00347619]
 [0.00273654 0.0008323  0.00366333 0.00410552 0.00224362]
 [0.00299925 0.00107011 0.00351677 0.00427217 0.0012731 ]
 [0.00366751 0.00119228 0.00309288 0.00472998 0.00154379]
 [0.00289842 0.00125426 0.00248686 0.00467389 0.00217119]
 [0.00310876 0.00119011 0.00160278 0.00408202 0.00263731]
 [0.00320982 0.00096343 0.0011216  0.00291751 0.00286577]
 [0.00223003 0.00066468 0.00085115 0.00240307 0.00269968]
 [0.00118022 0.00037679 0.00129036 0.00280585 0.00204244]
 [0.00084444 0.00020615 0.00135716 0.00505714 0.00112178]]"
3,"('finbert_Score', 'bart_Score', 'minmax_NFLX_Volume', 'log_return_5', 'log_return_1')",0.0008947407477535307,0.0025266766246846493,"[[0.00405734 0.00100627 0.00055471 0.00124403 0.00067894]
 [0.00385348 0.00093147 0.0006242  0.00118378 0.00067251]
 [0.00441381 0.00067255 0.00072662 0.00132158 0.0006318 ]
 [0.004933   0.00031899 0.00073325 0.001735   0.00074102]
 [0.00330107 0.0002514  0.00070227 0.00194724 0.00072141]
 [0.00209351 0.00038816 0.00054652 0.00200668 0.00064511]
 [0.00200793 0.00046282 0.00082448 0.001886   0.00068627]
 [0.00170023 0.00041379 0.00162421 0.00135762 0.00111586]
 [0.00181751 0.00051844 0.00236285 0.00102446 0.00211337]
 [0.00261253 0.00036125 0.00208169 0.00085154 0.00205182]]"
4,"('finbert_Score', 'bart_Score', 'EURUSD=X_Close', 'minmax_daily_variation', 'minmax_high_close_pressure')",0.0008692600531503558,0.0025054661401377374,"[[0.00573229 0.00091836 0.0002921  0.00181311 0.01060365]
 [0.00572443 0.00093965 0.00028432 0.00146154 0.00638567]
 [0.00488494 0.00143734 0.00025826 0.00113746 0.00552964]
 [0.00255865 0.0011589  0.00022757 0.00110426 0.00387125]
 [0.00309132 0.0007228  0.00024265 0.00090512 0.00454477]
 [0.00240379 0.00044836 0.00028438 0.00116913 0.00520573]
 [0.00282703 0.00060895 0.00031073 0.00158905 0.00609285]
 [0.00288514 0.00086043 0.00029946 0.0017427  0.00542515]
 [0.0025744  0.00113842 0.00024848 0.00164138 0.00417974]
 [0.00215074 0.00085962 0.0001719  0.00126247 0.0026191 ]]"
5,"('finbert_Score', 'bart_Score', 'minmax_low_open_pressure', 'minmax_low_norm', 'minmax_close_norm')",0.0008889588643796742,0.0025062595747105615,"[[0.00508279 0.0020678  0.0012184  0.00058023 0.00085301]
 [0.00325484 0.00208518 0.00091604 0.00055992 0.00109882]
 [0.00287787 0.00199829 0.00085685 0.0006377  0.00139946]
 [0.00207703 0.00164891 0.00080483 0.00069445 0.00142267]
 [0.00239318 0.00118522 0.00081549 0.0007331  0.00121884]
 [0.00299426 0.00066059 0.00092178 0.00076153 0.00097191]
 [0.0029595  0.00042192 0.00107431 0.0009812  0.00117596]
 [0.00245196 0.00054268 0.00092935 0.0010466  0.0013001 ]
 [0.0020765  0.00057663 0.0007363  0.0009875  0.00119081]
 [0.00143628 0.00034923 0.00040794 0.00111326 0.00109722]]"
6,"('finbert_Score', 'vader_Score', 'mean_trustworthy', 'norm_rsi_gspc_14', 'minmax_NFLX_Volume')",0.0007915732567198575,0.0020126448673896792,"[[0.00519196 0.00243562 0.00666715 0.00701239 0.00138911]
 [0.00565412 0.00242743 0.00529536 0.00603493 0.00106746]
 [0.00669635 0.00292012 0.0044918  0.00550324 0.00099167]
 [0.00617325 0.00327772 0.00343224 0.00483998 0.00113348]
 [0.00710169 0.00337492 0.00228357 0.00410495 0.00123184]
 [0.00719461 0.00324762 0.00189583 0.00361788 0.001215  ]
 [0.00790314 0.00310746 0.00265901 0.00317967 0.00143809]
 [0.00710615 0.00383023 0.00370031 0.00263286 0.00194528]
 [0.00719462 0.00504229 0.00447898 0.0028266  0.00213092]
 [0.00560448 0.00465999 0.00341867 0.00236211 0.0013827 ]]"
7,"('finbert_Score', 'vader_Score', 'mean_clickbait', 'norm_slowk_14', 'log_return_5')",0.0005674748099409044,0.002239772856045203,"[[0.00187821 0.00299285 0.00065485 0.00424279 0.00121107]
 [0.00238733 0.00268384 0.00057698 0.00477103 0.00137586]
 [0.00294055 0.00238225 0.00044523 0.00441958 0.00154462]
 [0.00303508 0.00253966 0.00034576 0.0034614  0.00145186]
 [0.00354119 0.00255426 0.00026352 0.00218263 0.00111013]
 [0.00374317 0.00267686 0.00028257 0.00206442 0.00089828]
 [0.00344759 0.00274191 0.0003355  0.00285331 0.00109841]
 [0.00268283 0.00251213 0.00041917 0.00298119 0.00139111]
 [0.0022774  0.00196045 0.00043167 0.00219697 0.00161057]
 [0.00159638 0.0009427  0.0003992  0.00244884 0.00127898]]"
8,"('finbert_Score', 'vader_Score', 'norm_rsi_14', 'norm_roc_14', 'log_return_1')",0.001198680722154677,0.0021944011348204533,"[[0.00263233 0.00106678 0.00188478 0.00473252 0.00201807]
 [0.00373694 0.00118992 0.00159176 0.0036783  0.00191873]
 [0.00478375 0.0015312  0.00136689 0.00296955 0.00155919]
 [0.00505454 0.00191401 0.00122306 0.00209232 0.0015467 ]
 [0.00502889 0.00213676 0.00127691 0.00147329 0.00160674]
 [0.00471286 0.00214925 0.00147699 0.00103993 0.00166909]
 [0.00445422 0.0027231  0.00169025 0.00072623 0.00165622]
 [0.00331922 0.00338904 0.00176204 0.00079038 0.00153821]
 [0.00268768 0.00408747 0.00169972 0.00086767 0.00155119]
 [0.00167031 0.00299927 0.00145144 0.00082585 0.00112652]]"
9,"('finbert_Score', 'vader_Score', 'EURUSD=X_Close', 'minmax_low_open_pressure', 'minmax_high_norm')",0.0007742579327896237,0.002354311599647021,"[[0.00449865 0.00341978 0.00034881 0.00128923 0.00271399]
 [0.00593633 0.00359951 0.0003511  0.0012557  0.00247906]
 [0.00645583 0.00242604 0.00031745 0.00103567 0.00206913]
 [0.00687913 0.00260893 0.00024137 0.00086039 0.00189051]
 [0.00731231 0.00292564 0.00018455 0.0008011  0.00124763]
 [0.00492234 0.00240382 0.00014532 0.00069256 0.00233769]
 [0.00334972 0.00248752 0.0001908  0.00046238 0.00368268]
 [0.00197106 0.00322397 0.00023624 0.00026433 0.0043492 ]
 [0.00256408 0.00408275 0.00021805 0.00019791 0.00371384]
 [0.00283595 0.00362325 0.00013763 0.00026122 0.00209183]]"
10,"('finbert_Score', 'vader_Score', 'minmax_daily_variation', 'minmax_low_norm', 'minmax_open_norm')",0.0010381706524640322,0.0015393523301139196,"[[0.00395586 0.00241584 0.00156601 0.00132101 0.00155959]
 [0.00489767 0.00223835 0.00132422 0.00133297 0.00138552]
 [0.00411228 0.00187458 0.00125433 0.00118994 0.00124336]
 [0.00368854 0.00191317 0.0011364  0.00105037 0.00108897]
 [0.00344488 0.00198727 0.00113633 0.00101748 0.00115928]
 [0.00299835 0.00171717 0.00139824 0.00105584 0.00119063]
 [0.00265959 0.0016776  0.00133665 0.00104442 0.00121765]
 [0.00242489 0.00122116 0.00127577 0.00101238 0.0011149 ]
 [0.00229509 0.0012657  0.00109388 0.0007635  0.00076599]
 [0.00169595 0.00192285 0.00146115 0.00062964 0.00062812]]"
11,"('finbert_Score', 'mean_future', 'mean_trustworthy', 'norm_slowk_14', 'log_return_1')",0.0008822607924230397,0.0026407047231096323,"[[0.00282814 0.00049296 0.00095426 0.00236675 0.00214231]
 [0.00341602 0.00052781 0.00089691 0.00244422 0.00143092]
 [0.00451322 0.00052656 0.0012109  0.0025217  0.00128001]
 [0.00488499 0.00063143 0.00131299 0.00282536 0.00113401]
 [0.0055839  0.00069194 0.00167016 0.00370548 0.00087304]
 [0.00511256 0.0007818  0.00157776 0.00450658 0.00094284]
 [0.00390111 0.00096255 0.00140546 0.00520219 0.00138181]
 [0.00192138 0.00110278 0.00097276 0.00542986 0.00188533]
 [0.002694   0.00122021 0.00061304 0.00475468 0.00208782]
 [0.00287955 0.00096723 0.00035801 0.00270003 0.0013197 ]]"
12,"('finbert_Score', 'mean_future', 'mean_clickbait', 'norm_rsi_gspc_14', 'EURUSD=X_Close')",0.0008361293585039675,0.0054540505038787705,"[[0.00229438 0.00022132 0.00050456 0.00503509 0.00038928]
 [0.0018528  0.00026902 0.00063135 0.00452885 0.0003603 ]
 [0.00170868 0.00031508 0.00072559 0.00356724 0.00030714]
 [0.0017558  0.00039133 0.00077689 0.00220629 0.00024356]
 [0.00201114 0.00042282 0.00075834 0.00090781 0.00018247]
 [0.00177554 0.00048687 0.00066751 0.00083778 0.00010233]
 [0.00129611 0.00050317 0.00052974 0.00186714 0.00015748]
 [0.00103956 0.00048646 0.00035357 0.0023998  0.00024473]
 [0.00129022 0.00052388 0.00021549 0.00219931 0.00027612]
 [0.00157574 0.00042844 0.00011924 0.0012866  0.00019966]]"
13,"('finbert_Score', 'mean_future', 'norm_rsi_14', 'minmax_NFLX_Volume', 'minmax_daily_variation')",0.001186058740131557,0.0018514111888920744,"[[0.00434707 0.00095665 0.00122626 0.00088886 0.00234239]
 [0.00416833 0.00087843 0.00099594 0.00071108 0.00131761]
 [0.00411873 0.0009855  0.00101829 0.00043614 0.00137212]
 [0.00307349 0.00090035 0.00124134 0.00034294 0.00109325]
 [0.00319079 0.00075194 0.00123593 0.00042309 0.00102654]
 [0.0026536  0.00059427 0.00133901 0.0005287  0.00135732]
 [0.00269171 0.00046395 0.0013238  0.00053738 0.00162001]
 [0.00298011 0.00023688 0.0010684  0.00050097 0.00165417]
 [0.00255224 0.00017283 0.00071819 0.00037943 0.00145026]
 [0.00222569 0.0003445  0.00043411 0.00026826 0.0010891 ]]"
14,"('finbert_Score', 'mean_future', 'norm_roc_14', 'log_return_5', 'minmax_high_close_pressure')",0.0010981842642650008,0.0015114392453066474,"[[0.00566635 0.00044832 0.00240682 0.00174292 0.00219598]
 [0.00422574 0.00037252 0.00198387 0.00139329 0.002495  ]
 [0.00333469 0.00043359 0.00193337 0.00124446 0.0028241 ]
 [0.00248661 0.00066774 0.00153932 0.0013304  0.0027982 ]
 [0.00208673 0.00077215 0.00090906 0.00154588 0.00224683]
 [0.00198548 0.00100352 0.00068475 0.00170157 0.00209163]
 [0.00175849 0.00097686 0.00098044 0.00163183 0.00264992]
 [0.0016265  0.00062908 0.00096977 0.00135852 0.00322869]
 [0.00140633 0.00034888 0.00066467 0.0009365  0.0030288 ]
 [0.00096474 0.00035762 0.00034162 0.00062972 0.00186002]]"
15,"('finbert_Score', 'mean_future', 'minmax_close_norm', 'minmax_high_norm', 'minmax_open_norm')",0.0011148720514029264,0.002835765911966141,"[[0.00411376 0.00105671 0.00104821 0.00147489 0.00074664]
 [0.00282472 0.0010036  0.00106315 0.00158916 0.00058532]
 [0.00340712 0.00089    0.0010193  0.00165572 0.00063393]
 [0.00343743 0.00082459 0.00090192 0.00178399 0.0007961 ]
 [0.00305502 0.0008249  0.00075431 0.00151645 0.00093735]
 [0.00258834 0.0007619  0.00073884 0.00206212 0.00096146]
 [0.00221771 0.00095443 0.00093681 0.00294819 0.00119361]
 [0.00222964 0.0013809  0.00109572 0.0037578  0.00167959]
 [0.00281046 0.00171291 0.00107997 0.00382631 0.00222455]
 [0.00250687 0.00142163 0.00067246 0.00225466 0.00262081]]"
16,"('finbert_Score', 'mean_influential', 'mean_trustworthy', 'norm_roc_14', 'EURUSD=X_Close')",0.0008608645293861628,0.0026051961384705,"[[4.99323012e-03 9.70282351e-04 9.14054790e-04 4.69199727e-03
  1.74282436e-04]
 [6.07709092e-03 8.67301739e-04 8.76595412e-04 2.98637995e-03
  1.64079605e-04]
 [5.33447426e-03 6.87847511e-04 7.98772565e-04 2.75907273e-03
  1.48345225e-04]
 [5.61755494e-03 4.85025083e-04 5.70773306e-04 3.39571144e-03
  1.33273417e-04]
 [4.99576588e-03 5.49829161e-04 6.54689377e-04 4.10369789e-03
  1.24473505e-04]
 [4.20394125e-03 6.49487600e-04 9.23288908e-04 3.79313584e-03
  1.08796056e-04]
 [2.90931852e-03 8.28805520e-04 1.23253591e-03 2.94411519e-03
  8.65700010e-05]
 [1.60547867e-03 8.67059342e-04 1.19933180e-03 2.23613365e-03
  7.12782111e-05]
 [1.67518043e-03 7.17672057e-04 9.44220407e-04 1.57245917e-03
  5.19773024e-05]
 [2.25422379e-03 4.25537677e-04 4.27170563e-04 1.10856691e-03
  4.37376044e-05]]"
17,"('finbert_Score', 'mean_influential', 'mean_clickbait', 'minmax_NFLX_Volume', 'minmax_high_close_pressure')",0.0010018096072599292,0.0020026030904114617,"[[0.00354888 0.00163055 0.00032394 0.00152664 0.00338004]
 [0.00274656 0.00201693 0.00019773 0.00096493 0.00236228]
 [0.00268582 0.00239621 0.00019741 0.00052674 0.00226627]
 [0.00273867 0.0028845  0.00016583 0.00042875 0.00227641]
 [0.00317119 0.00329661 0.00023825 0.00050485 0.00304723]
 [0.00276852 0.00330191 0.00034674 0.00040821 0.00374135]
 [0.00169702 0.00284796 0.0005627  0.00046299 0.00498404]
 [0.00156989 0.00171691 0.00089241 0.00090881 0.00552074]
 [0.00172188 0.00076928 0.00122478 0.00138602 0.00417442]
 [0.00110198 0.00116889 0.00118214 0.00127496 0.0025704 ]]"
18,"('finbert_Score', 'mean_influential', 'norm_rsi_14', 'norm_rsi_gspc_14', 'log_return_5')",0.0007142037502489984,0.0022268665596935034,"[[0.0029909  0.00262687 0.00247872 0.00378627 0.00102728]
 [0.00295321 0.00184344 0.00202796 0.00395614 0.00059763]
 [0.00345065 0.00122416 0.00179337 0.00378598 0.00087397]
 [0.0047821  0.00110768 0.00144356 0.00313577 0.0012838 ]
 [0.00551808 0.00157377 0.00124143 0.00215642 0.00179252]
 [0.00502653 0.00274081 0.00138714 0.00130848 0.00222384]
 [0.00333056 0.00384593 0.00144181 0.00147381 0.00234782]
 [0.00224927 0.00442864 0.00153738 0.00251236 0.00219745]
 [0.00429838 0.00467864 0.00162816 0.00283002 0.00163156]
 [0.00574309 0.00324081 0.00151148 0.00181177 0.00097594]]"
