,cols_used,mse_val,mse_train,aggregated_shap
0,"('finbert_Score', 'bart_Score', 'vader_Score', 'mean_future', 'mean_influential')",0.0023348054382950068,0.004579882319849388,"[[0.00430798 0.00077358 0.00525969 0.00052678 0.00042961]
 [0.0036466  0.00080455 0.00533363 0.00054141 0.00063342]
 [0.00269637 0.00104435 0.00463065 0.00058159 0.0007581 ]
 [0.00168199 0.00142957 0.00304161 0.00060944 0.00071481]
 [0.00166716 0.00226675 0.00197881 0.00063921 0.0007699 ]
 [0.00153949 0.00291554 0.00212208 0.00077563 0.00079938]
 [0.0021512  0.00337343 0.00313646 0.00082346 0.00095108]
 [0.00235497 0.00323519 0.0038618  0.00082133 0.00123107]
 [0.00181499 0.00283905 0.00322631 0.0007709  0.00130947]
 [0.00169234 0.00181708 0.00191768 0.00064665 0.00095543]]"
1,"('finbert_Score', 'bart_Score', 'mean_trustworthy', 'mean_clickbait', 'norm_rsi_14')",0.0023072680924087763,0.0036974268325319047,"[[0.00585827 0.00345112 0.005366   0.00252484 0.00687471]
 [0.00491386 0.00244769 0.00504846 0.00228468 0.00573283]
 [0.00433772 0.00260972 0.00408169 0.0021879  0.0046099 ]
 [0.0037848  0.00203395 0.00220161 0.00224977 0.00412461]
 [0.00299436 0.00203117 0.00308537 0.00219396 0.00397279]
 [0.00427003 0.00390864 0.00657429 0.00138047 0.00260061]
 [0.00435991 0.00649499 0.00772671 0.0004502  0.00216028]
 [0.00444868 0.00704896 0.00782638 0.0015656  0.00433486]
 [0.00293584 0.00589771 0.00444691 0.00229569 0.00573412]
 [0.00287468 0.00356395 0.00190647 0.00221878 0.00483348]]"
2,"('finbert_Score', 'bart_Score', 'norm_rsi_gspc_14', 'norm_slowk_14', 'norm_roc_14')",0.002334310207515955,0.0018433332075609972,"[[0.00700471 0.00369847 0.00316677 0.0064553  0.00657215]
 [0.00950011 0.00523008 0.0027001  0.00989446 0.00548737]
 [0.01020962 0.00573703 0.00266447 0.01350033 0.00547786]
 [0.00898103 0.00467612 0.00263861 0.01408445 0.00604906]
 [0.00603414 0.00303116 0.00227622 0.01122798 0.00558196]
 [0.00329362 0.00143862 0.00173798 0.00607559 0.00450996]
 [0.0035549  0.00259551 0.00129941 0.00464059 0.00296008]
 [0.00453681 0.00379216 0.00097855 0.00699345 0.00207063]
 [0.00407649 0.00326117 0.00091094 0.01051389 0.00269516]
 [0.00301042 0.00114651 0.00110085 0.01254651 0.00261889]]"
3,"('finbert_Score', 'bart_Score', 'minmax_TSLA_Volume', 'log_return_5', 'log_return_1')",0.0021485600154846907,0.0026756487397517396,"[[0.00342424 0.00136833 0.00435884 0.00358292 0.00182089]
 [0.00389227 0.00118737 0.00359762 0.00277183 0.00157749]
 [0.00314794 0.00128476 0.00408219 0.00234856 0.00158335]
 [0.00229669 0.00132239 0.00494969 0.00263801 0.00133186]
 [0.00265155 0.00215422 0.00558733 0.00372912 0.00101204]
 [0.00302229 0.00281739 0.00490195 0.0044285  0.00064532]
 [0.00353112 0.00314257 0.00280552 0.00399619 0.00056848]
 [0.00361885 0.00271995 0.00289646 0.0027811  0.00081637]
 [0.00451797 0.00192157 0.00601164 0.00131991 0.00090304]
 [0.00721629 0.00070279 0.00626607 0.0006279  0.0004019 ]]"
4,"('finbert_Score', 'bart_Score', 'EURUSD=X_Close', 'minmax_daily_variation', 'minmax_high_close_pressure')",0.0028121941722929478,0.0029309537487346737,"[[0.00313245 0.00273987 0.00040015 0.00369188 0.00220568]
 [0.00388062 0.00135168 0.00025473 0.00336934 0.00324398]
 [0.00519066 0.00129719 0.00016859 0.00324838 0.0042074 ]
 [0.00564507 0.00208514 0.00022697 0.00307312 0.0043635 ]
 [0.00585105 0.00348614 0.00026065 0.00288492 0.00379573]
 [0.00452841 0.00425626 0.0002241  0.00235316 0.00271403]
 [0.00414691 0.00481509 0.00016102 0.00178543 0.00203458]
 [0.00445282 0.00420459 0.00012156 0.00167175 0.003798  ]
 [0.00483021 0.00338007 0.00016228 0.00252814 0.00495462]
 [0.00445444 0.00195967 0.00022385 0.00324158 0.00367577]]"
5,"('finbert_Score', 'bart_Score', 'minmax_low_open_pressure', 'minmax_low_norm', 'minmax_close_norm')",0.0019455754663795233,0.003580355371605178,"[[0.00744828 0.00266559 0.00081108 0.00199395 0.0036168 ]
 [0.0067243  0.00273645 0.00119323 0.00174421 0.00262375]
 [0.00687892 0.00253963 0.00137804 0.00141976 0.00219508]
 [0.00567822 0.00188779 0.00149147 0.00110506 0.0021544 ]
 [0.00487367 0.0014473  0.0014129  0.00074597 0.00266947]
 [0.00418909 0.00215661 0.00112814 0.00058597 0.00224602]
 [0.00271466 0.00342352 0.00071303 0.0006363  0.00084107]
 [0.00145128 0.00431116 0.00094106 0.00083159 0.00162081]
 [0.00321203 0.004328   0.00135388 0.00093587 0.00380013]
 [0.00535441 0.00292185 0.0012813  0.00080949 0.00405988]]"
6,"('finbert_Score', 'vader_Score', 'mean_trustworthy', 'norm_rsi_gspc_14', 'minmax_TSLA_Volume')",0.002451547421514988,0.00206381917697588,"[[0.00593182 0.00419622 0.00952287 0.00606742 0.00353066]
 [0.00577359 0.00325351 0.00935694 0.00482521 0.0034919 ]
 [0.00580556 0.00345545 0.00965053 0.00407712 0.00339569]
 [0.00719228 0.00404362 0.00931715 0.00302326 0.00269215]
 [0.00923994 0.00511232 0.00896791 0.00227733 0.00207675]
 [0.0108399  0.00535126 0.00966614 0.00230423 0.00177123]
 [0.01118548 0.00511438 0.009045   0.00266247 0.00197959]
 [0.01206371 0.0047481  0.00988116 0.00262837 0.00216599]
 [0.01045898 0.00294876 0.00818045 0.00196532 0.00406415]
 [0.00791078 0.00396204 0.00619748 0.00099157 0.00510993]]"
7,"('finbert_Score', 'vader_Score', 'mean_clickbait', 'norm_slowk_14', 'log_return_5')",0.0017985589802265167,0.002780757702803441,"[[0.0051478  0.00440928 0.00136817 0.00961856 0.00285597]
 [0.00491124 0.00437626 0.00096169 0.00435503 0.00225744]
 [0.00456235 0.0036785  0.00130443 0.00228674 0.00155508]
 [0.00396014 0.00322207 0.00286879 0.00569946 0.00102614]
 [0.00415819 0.00401033 0.00425328 0.00772709 0.00138102]
 [0.0041722  0.00599503 0.00546514 0.00759433 0.00201879]
 [0.00370528 0.00731077 0.00515663 0.00562013 0.00203704]
 [0.00338411 0.00811451 0.00484538 0.00426494 0.00141319]
 [0.00375745 0.00633531 0.00282376 0.00431784 0.00093276]
 [0.0046525  0.00381319 0.00102962 0.00321508 0.00112587]]"
8,"('finbert_Score', 'vader_Score', 'norm_rsi_14', 'norm_roc_14', 'log_return_1')",0.001894778455607593,0.00195735126795772,"[[0.00482791 0.00278101 0.00498408 0.01094296 0.00159904]
 [0.00367608 0.0033761  0.00398054 0.00793476 0.00139033]
 [0.00348104 0.00422093 0.00337762 0.00614465 0.00112614]
 [0.00290856 0.00562277 0.00300741 0.00433096 0.00112732]
 [0.0025709  0.00551612 0.00247251 0.00259924 0.00134994]
 [0.00363153 0.00409548 0.0019208  0.0019143  0.00129695]
 [0.00465041 0.00296618 0.00165166 0.00222998 0.00140234]
 [0.00477727 0.00397853 0.0020129  0.00284121 0.00152183]
 [0.00264659 0.00503823 0.00262213 0.00331272 0.00151109]
 [0.00289395 0.00369297 0.0018752  0.00336561 0.00110993]]"
9,"('finbert_Score', 'vader_Score', 'EURUSD=X_Close', 'minmax_low_open_pressure', 'minmax_high_norm')",0.0017633849056437612,0.0028193286373553905,"[[0.00638458 0.00182879 0.00155366 0.00339987 0.00332357]
 [0.00559706 0.0038636  0.00134664 0.00288924 0.00364885]
 [0.00570991 0.0053319  0.00114304 0.00275233 0.00367008]
 [0.00469834 0.00576071 0.00096952 0.00276437 0.00317484]
 [0.0036941  0.00541638 0.00083966 0.0027628  0.00282389]
 [0.00348484 0.00535914 0.00073847 0.00279447 0.00256969]
 [0.00305947 0.00442279 0.00063106 0.00233894 0.0022771 ]
 [0.00313214 0.00366445 0.00051283 0.00182921 0.00234174]
 [0.00255636 0.00243931 0.00037778 0.0012673  0.00243497]
 [0.00214593 0.00072896 0.00031607 0.00037762 0.00223066]]"
