prefix,target,model,mode,loss,Baseline-prev,Baseline-horizon,horizon,return_no_interest,return_interest,set,is_better
NFLX,Close,NBEATSx,financial,234.49,116.61,227.05,2,,,val,0
NFLX,Close,NBEATSx,financial,179.75,116.61,183.99,5,,,val,1
NFLX,Close,NHITS,financial,210.15,116.61,227.05,2,,,val,1
NFLX,Close,NHITS,financial,156.75,116.61,183.99,5,,,val,1
NFLX,Close,TFT,financial,192.03,116.61,227.05,2,,,val,1
NFLX,Close,TFT,financial,250.06,116.61,183.99,5,,,val,0
NFLX,Close,NBEATSx,news,198.69,116.61,227.05,2,,,val,1
NFLX,Close,NBEATSx,news,167.55,116.61,183.99,5,,,val,1
NFLX,Close,NHITS,news,147.5,116.61,227.05,2,,,val,1
NFLX,Close,NHITS,news,160.16,116.61,183.99,5,,,val,1
NFLX,Close,TFT,news,197.54,116.61,227.05,2,,,val,1
NFLX,Close,TFT,news,192.26,116.61,183.99,5,,,val,0
NFLX,Close,NBEATSx,financial_and_news,173.74,116.61,227.05,2,,,val,1
NFLX,Close,NBEATSx,financial_and_news,180.17,116.61,183.99,5,,,val,1
NFLX,Close,NHITS,financial_and_news,202.14,116.61,227.05,2,,,val,1
NFLX,Close,NHITS,financial_and_news,163.88,116.61,183.99,5,,,val,1
NFLX,Close,TFT,financial_and_news,193.53,116.61,227.05,2,,,val,1
NFLX,Close,TFT,financial_and_news,251.46,116.61,183.99,5,,,val,0
NFLX,Close,NBEATSx,financial,131.71,95.78,95.78,2,,,test,0
NFLX,Close,NBEATSx,financial,266.38,95.78,294.45,5,,,test,1
NFLX,Close,NHITS,financial,118.65,95.78,95.78,2,,,test,0
NFLX,Close,NHITS,financial,267.62,95.78,294.45,5,,,test,1
NFLX,Close,TFT,financial,177.15,95.78,95.78,2,,,test,0
NFLX,Close,TFT,financial,523.39,95.78,294.45,5,,,test,0
NFLX,Close,NBEATSx,news,137.89,95.78,95.78,2,,,test,0
NFLX,Close,NBEATSx,news,276.93,95.78,294.45,5,,,test,1
NFLX,Close,NHITS,news,180.75,95.78,95.78,2,,,test,0
NFLX,Close,NHITS,news,261.71,95.78,294.45,5,,,test,1
NFLX,Close,TFT,news,321.06,95.78,95.78,2,,,test,0
NFLX,Close,TFT,news,271.52,95.78,294.45,5,,,test,1
NFLX,Close,NBEATSx,financial_and_news,126.12,95.78,95.78,2,,,test,0
NFLX,Close,NBEATSx,financial_and_news,294.51,95.78,294.45,5,,,test,0
NFLX,Close,NHITS,financial_and_news,127.0,95.78,95.78,2,,,test,0
NFLX,Close,NHITS,financial_and_news,263.37,95.78,294.45,5,,,test,1
NFLX,Close,TFT,financial_and_news,257.72,95.78,95.78,2,,,test,0
NFLX,Close,TFT,financial_and_news,668.95,95.78,294.45,5,,,test,0
NFLX,log_return_1,NBEATSx,financial,0.5,0.41,0.31,2,,,val,1
