prefix,target,model,mode,loss,Baseline-prev,Baseline-horizon,horizon,return_no_interest,return_interest,set,is_better
NFLX,log_return_1,NBEATSx,financial,0.39,0.41,0.53,5,,,val,0
NFLX,log_return_1,NHITS,financial,0.58,0.41,0.53,5,,,val,1
NFLX,log_return_1,TFT,financial,0.68,0.41,0.53,5,,,val,1
NFLX,log_return_1,NBEATSx,news,0.62,0.41,0.53,5,,,val,1
NFLX,log_return_1,NHITS,news,0.64,0.41,0.53,5,,,val,1
NFLX,log_return_1,TFT,news,0.63,0.41,0.53,5,,,val,1
NFLX,log_return_1,NBEATSx,financial_and_news,0.65,0.41,0.53,5,,,val,1
NFLX,log_return_1,NHITS,financial_and_news,0.6,0.41,0.53,5,,,val,1
NFLX,log_return_1,TFT,financial_and_news,0.58,0.41,0.53,5,,,val,1
NFLX,log_return_1,NBEATSx,financial,0.52,0.53,0.58,5,,,test,0
NFLX,log_return_1,NHITS,financial,0.54,0.53,0.58,5,,,test,0
NFLX,log_return_1,TFT,financial,0.5,0.53,0.58,5,,,test,0
NFLX,log_return_1,NBEATSx,news,0.52,0.53,0.58,5,,,test,0
NFLX,log_return_1,NHITS,news,0.51,0.53,0.58,5,,,test,0
NFLX,log_return_1,TFT,news,0.63,0.53,0.58,5,,,test,1
NFLX,log_return_1,NBEATSx,financial_and_news,0.55,0.53,0.58,5,,,test,0
NFLX,log_return_1,NHITS,financial_and_news,0.49,0.53,0.58,5,,,test,0
NFLX,log_return_1,TFT,financial_and_news,0.58,0.53,0.58,5,,,test,0
NFLX,log_return_5,NBEATSx,financial,0.7,0.85,0.64,5,-0.005842494274094838,-0.009867669582214321,val,1
NFLX,log_return_5,NHITS,financial,0.56,0.85,0.64,5,0.0022310343589541115,-0.0017998034825847098,val,0
NFLX,log_return_5,TFT,financial,0.7,0.85,0.64,5,-0.006229556138384486,-0.01025900156190447,val,1
NFLX,log_return_5,NBEATSx,news,0.79,0.85,0.64,5,-0.008560668935100347,-0.01259192927954242,val,1
NFLX,log_return_5,NHITS,news,0.76,0.85,0.64,5,-0.007124904095962269,-0.011154247785695244,val,1
NFLX,log_return_5,TFT,news,0.7,0.85,0.64,5,0.004546283883217195,0.0005238493911175934,val,1
NFLX,log_return_5,NBEATSx,financial_and_news,0.76,0.85,0.64,5,-0.005123435464631177,-0.009143259076896436,val,1
NFLX,log_return_5,NHITS,financial_and_news,0.82,0.85,0.64,5,-0.005663438480425833,-0.009700583228209932,val,1
NFLX,log_return_5,TFT,financial_and_news,0.51,0.85,0.64,5,0.0038264158473944104,-0.00019682988085053938,val,0
NFLX,log_return_5,NBEATSx,financial,0.69,0.85,0.69,5,-0.004449935511752831,-0.008461960157284678,test,0
NFLX,log_return_5,NHITS,financial,0.82,0.85,0.69,5,-1.687025671535463e-05,-0.004028940597069362,test,1
NFLX,log_return_5,TFT,financial,0.8,0.85,0.69,5,-0.004085625606707471,-0.008095132659157529,test,1
NFLX,log_return_5,NBEATSx,news,0.7,0.85,0.69,5,-0.0010777457800104024,-0.005086531699523631,test,1
NFLX,log_return_5,NHITS,news,0.69,0.85,0.69,5,-0.010757853999408129,-0.014768179522527026,test,0
NFLX,log_return_5,TFT,news,0.78,0.85,0.69,5,0.0009710306868885055,-0.003035422090129743,test,1
NFLX,log_return_5,NBEATSx,financial_and_news,0.63,0.85,0.69,5,-0.004579569489395402,-0.008589772905022849,test,0
NFLX,log_return_5,NHITS,financial_and_news,0.77,0.85,0.69,5,0.005485763352508355,0.0014803700930768196,test,1
NFLX,log_return_5,TFT,financial_and_news,0.8,0.85,0.69,5,-0.0018536921993099504,-0.0058617790563272225,test,1
BA,log_return_1,NBEATSx,financial,0.62,0.6,0.53,5,,,val,1
BA,log_return_1,NHITS,financial,0.61,0.6,0.53,5,,,val,1
BA,log_return_1,TFT,financial,0.53,0.6,0.53,5,,,val,0
BA,log_return_1,NBEATSx,news,0.51,0.6,0.53,5,,,val,0
BA,log_return_1,NHITS,news,0.57,0.6,0.53,5,,,val,1
BA,log_return_1,TFT,news,0.39,0.6,0.53,5,,,val,0
BA,log_return_1,NBEATSx,financial_and_news,0.61,0.6,0.53,5,,,val,1
BA,log_return_1,NHITS,financial_and_news,0.63,0.6,0.53,5,,,val,1
BA,log_return_1,TFT,financial_and_news,0.44,0.6,0.53,5,,,val,0
BA,log_return_1,NBEATSx,financial,0.67,0.64,0.63,5,,,test,1
BA,log_return_1,NHITS,financial,0.68,0.64,0.63,5,,,test,1
BA,log_return_1,TFT,financial,0.73,0.64,0.63,5,,,test,1
BA,log_return_1,NBEATSx,news,0.62,0.64,0.63,5,,,test,0
BA,log_return_1,NHITS,news,0.63,0.64,0.63,5,,,test,0
BA,log_return_1,TFT,news,0.75,0.64,0.63,5,,,test,1
BA,log_return_1,NBEATSx,financial_and_news,0.64,0.64,0.63,5,,,test,1
BA,log_return_1,NHITS,financial_and_news,0.57,0.64,0.63,5,,,test,0
BA,log_return_1,TFT,financial_and_news,0.64,0.64,0.63,5,,,test,1
BA,log_return_5,NBEATSx,financial,0.76,0.83,0.43,5,0.0009410550307452694,-0.0030750171987600785,val,1
BA,log_return_5,NHITS,financial,0.73,0.83,0.43,5,0.0018277667904267679,-0.0021812686674260082,val,1
BA,log_return_5,TFT,financial,0.56,0.83,0.43,5,0.011327032197011448,0.007309643960308104,val,1
BA,log_return_5,NBEATSx,news,0.53,0.83,0.43,5,0.01105135975408278,0.007024305499811797,val,1
BA,log_return_5,NHITS,news,0.63,0.83,0.43,5,0.0017034417377656073,-0.0023181150655706296,val,1
BA,log_return_5,TFT,news,0.56,0.83,0.43,5,0.011448399044058567,0.007430598208251753,val,1
BA,log_return_5,NBEATSx,financial_and_news,0.69,0.83,0.43,5,0.014488285990944852,0.010464796704111011,val,1
BA,log_return_5,NHITS,financial_and_news,0.45,0.83,0.43,5,0.008921746190288994,0.004903633383052254,val,1
BA,log_return_5,TFT,financial_and_news,0.43,0.83,0.43,5,0.005553366919015371,0.001535914320656904,val,0
BA,log_return_5,NBEATSx,financial,0.89,0.96,0.91,5,-0.003003547908939682,-0.007042244093378088,test,0
BA,log_return_5,NHITS,financial,0.91,0.96,0.91,5,-0.0017158831358674964,-0.005739302895469808,test,0
