uuid,title,description,keywords,snippet,url,image_url,language,published_at,source,relevance_score,type,industry,match_score,sentiment_score
1dd9cfe3-38fb-4160-a402-f81d7a148a7e,"Top Analyst Reports for Visa, Pfizer & SAP","Today's Research Daily features new research reports on 16 major stocks, including Visa Inc. (V), Pfizer Inc. (PFE) and SAP SE (SAP).",,"Monday, May 15, 2023



The Zacks Research Daily presents the best research output of our analyst team. Today's Research Daily features new research reports on ...",https://finance.yahoo.com/news/top-analyst-reports-visa-pfizer-201508677.html?.tsrc=rss,https://media.zenfs.com/en/zacks.com/8335427d104c6a8de461825a28a46990,en,2023-05-15T20:15:08.000000Z,finance.yahoo.com,,equity,Industrials,15.958049375,0.42825
9c4542fe-f9b7-48d7-bdcf-2db15c7e3dc9,Hawaiian Airlines Unveils Boeing 787 Dreamliner Cabin Design; Introduces Leihōkū Suites,"/PRNewswire/ -- Hawaiian Airlines, Hawaiʻi's hometown carrier since 1929, today introduced an elevated standard of leisure travel, inspired by early Polynesian...",Hawaiian Airlines,"Cabin designs immerse guests in natural materials and celestial elements throughout their journey

HONOLULU, May 15, 2023 /PRNewswire/ -- Hawaiian Airlines, Haw...",https://www.prnewswire.com/news-releases/hawaiian-airlines-unveils-boeing-787-dreamliner-cabin-design-introduces-leihk-suites-301824967.html,https://mma.prnewswire.com/media/2077326/Hawaiian_Airlines_787_Leihoku_Suites.jpg?p=facebook,en,2023-05-15T18:00:00.000000Z,prnewswire.com,,equity,Industrials,13.081380714285714,0.0
b08b0bd4-abe0-4fca-932c-e831e37049bd,Boeing: Fair-Valued Stock (NYSE:BA),"Boeing's profitability is expanding well, and core margins show great dynamics. Click here to see why BA stock is a Buy.",,"gk-6mt

Investment Thesis

Despite all the technical issues, global aviation demand remain a significant tailwind for Boeing, so recently arisen 737's problems ...",https://seekingalpha.com/article/4604942-boeing-fair-valued-stock,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458086589/image_458086589.jpg?io=getty-c-w1536,en,2023-05-16T09:39:53.000000Z,seekingalpha.com,,equity,Industrials,54.76142,0.39225
cc336362-9aff-4940-9df3-76e90cb601af,"The Zacks Analyst Blog Highlights Visa, Pfizer, SAP SE, International Business Machines and The Boeing","Visa, Pfizer, SAP SE, International Business Machines and The Boeing are part of the Zacks top Analyst Blog.",,"For Immediate Release

Chicago, IL – May 16, 2023 – Zacks.com announces the list of stocks featured in the Analyst Blog. Every day the Zacks Equity Research...",https://finance.yahoo.com/news/zacks-analyst-blog-highlights-visa-145902263.html?.tsrc=rss,https://media.zenfs.com/en/zacks.com/320a1ba2c93a6d242b2b4d26c5219de3,en,2023-05-16T14:59:02.000000Z,finance.yahoo.com,,equity,Industrials,38.6177165,0.5961249999999999
5ad69b1a-a46d-41a1-acb6-4fc9f7e3dcd5,"The Zacks Analyst Blog Highlights Visa, Pfizer, SAP SE, International Business Machines and The Boeing","Visa, Pfizer, SAP SE, International Business Machines and The Boeing are part of the Zacks top Analyst Blog.","stock, stocks, investment, investment advice, investing, online trading, online investment, online stock trading, stock market, financial, financial planning, quote, quotes, stock quotes","This page has not been authorized, sponsored, or otherwise approved or endorsed by the companies represented herein. Each of the company logos represented herei...",https://www.zacks.com/stock/news/2095939/the-zacks-analyst-blog-highlights-visa-pfizer-sap-se-international-business-machines-and-the-boeing?cid=CS-ZC-FT-press_releases-2095939,https://staticx-tuner.zacks.com/images/articles/main/af/643.jpg,en,2023-05-16T14:59:00.000000Z,zacks.com,,equity,Industrials,37.72184,0.0
b6fad2f9-6706-4fd5-96f0-f0178b62bd89,Aircraft Aftermarket Parts Market Projected to Hit USD 47.33 Billion by 2028 | Fortune Business Insights™,"The global aircraft aftermarket parts market covered major segments By Parts Type (MRO Parts and Routable Replacement Parts), By Component Type (Engine,...","Fortune Business Insights, Aircraft Aftermarket Parts","Pune, India, May 16, 2023 (GLOBE NEWSWIRE) -- The global aircraft aftermarket parts market size is expected to gain momentum by reaching USD 47.33 billion by 20...",https://www.globenewswire.com/news-release/2023/05/16/2669577/0/en/Aircraft-Aftermarket-Parts-Market-Projected-to-Hit-USD-47-33-Billion-by-2028-Fortune-Business-Insights.html,https://ml.globenewswire.com/Resource/Download/05408ba1-26b1-4fdd-8f48-1af4df373348,en,2023-05-16T06:12:00.000000Z,globenewswire.com,,equity,Industrials,12.627122714285715,0.5106
2e6aa24b-251a-4b89-940f-e2edaf8d2d03,Global Space Exploration Market Size To Surpass USD 1879 Billion By 2032 | CAGR of 16.21%,The Global Space Exploration Market Size was valued at USD 486 Billion in 2022 and the worldwide space exploration market size is expected to reach USD...,"SPHERICAL INSIGHTS LLP, Space Exploration, Space Exploration Market, Space Exploration Market Size, Space Exploration Market Share, Price, Trends, Demand, SI","New York, United States , May 16, 2023 (GLOBE NEWSWIRE) -- The Global Space Exploration Market Size is to grow from USD 486 Billion in 2022 to USD 1879 Billion ...",https://www.globenewswire.com/news-release/2023/05/16/2670325/0/en/Global-Space-Exploration-Market-Size-To-Surpass-USD-1879-Billion-By-2032-CAGR-of-16-21.html,https://ml.globenewswire.com/Resource/Download/b27a94e8-407e-46ae-a5c2-47bb2a1c8a2e,en,2023-05-16T17:10:00.000000Z,globenewswire.com,,equity,Industrials,11.103960857142855,0.27320000000000005
4b20ef15-d979-458e-bded-50fd8c07cb3d,Boeing unveils data tool for cutting aviation's greenhouse gases (NYSE:BA),Boeing (BA) on Wednesday introduced a data-modeling tool to help airlines and policymakers find the best ways to cut aviation’s greenhouse gas emissions to zero by 2050,,Boeing (NYSE:BA) on Wednesday introduced a data-modeling tool to help airlines and policymakers find the best ways to cut aviation’s greenhouse gas emissions ...,https://seekingalpha.com/news/3972813-boeing-unveils-data-tool-for-cutting-aviations-greenhouse-gases,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1372488167/image_1372488167.jpg?io=getty-c-w750,en,2023-05-17T21:30:48.000000Z,seekingalpha.com,,equity,Industrials,44.488503,0.28615
c1b00645-f5c7-43ff-8687-043cf2f604fe,Flights of Boeing's 737 Max rise significantly in China: Wells Fargo (NYSE:BA),Chinese airlines are returning their fleets of Boeing (BA) 737 Max planes to service as demand for travel rebounds in the country,,Chinese airlines are returning their fleets of Boeing (NYSE:BA) 737 Max planes to service as demand for travel rebounds in the country. Those carriers are likel...,https://seekingalpha.com/news/3972614-flights-of-boeings-737-max-rise-significantly-in-china-wells-fargo,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/971378120/image_971378120.jpg?io=getty-c-w750,en,2023-05-17T14:54:19.000000Z,seekingalpha.com,,equity,Industrials,41.314423,0.32595
2f7751ca-d7fb-437b-aeda-78d0081f90ec,"Boeing Publicly Launches ""Cascade"" to Support Aviation's Net Zero Goal","SEATTLE, May 17, 2023 /PRNewswire/ -- In support of commercial aviation's path toward net zero carbon emissions, Boeing  today released the Boeing Cascade Climate Impact Model for public use.... | May 17,  2023","BOEING stock exchange, news, information, press release, may, 2023, in, support, of, commercial, path, toward, net, zero, carbon, boeing, today, released, the, cascade, climate, impact, model, for, public | BA | US0970231058","SEATTLE, May 17, 2023 /PRNewswire/ -- In support of commercial aviation's path toward net zero carbon emissions, Boeing (NYSE: BA) today released the Boeing Cas...",https://www.marketscreener.com/quote/stock/BOEING-4816/news/Boeing-Publicly-Launches-Cascade-to-Support-Aviation-s-Net-Zero-Goal-43879813/,https://www.marketscreener.com/images/twitter_MS_fdgris.png,en,2023-05-17T18:46:04.000000Z,marketscreener.com,,equity,Industrials,23.305988,0.4019
