,timestamp,open,high,low,close,volume
0,2023-10-10,142.6,143.415,141.72,142.11,3015784
1,2023-10-09,142.3,142.4,140.68,142.2,2354396
2,2023-10-06,141.4,142.94,140.11,142.03,3511347
3,2023-10-05,140.9,141.7,140.19,141.52,3223910
4,2023-10-04,140.37,141.2004,139.99,141.07,2637779
5,2023-10-03,140.87,141.64,140.0,140.39,3284421
6,2023-10-02,140.04,141.45,139.86,140.8,3275461
7,2023-09-29,142.0,142.13,139.61,140.3,5703983
8,2023-09-28,142.14,142.282,140.205,141.58,5783422
9,2023-09-27,143.67,143.82,141.76,143.17,4439121
10,2023-09-26,145.51,146.17,143.0201,143.24,4824654
11,2023-09-25,146.57,147.43,146.25,146.48,2694245
12,2023-09-22,147.41,148.1,146.82,146.91,2562216
13,2023-09-21,149.0,149.25,147.31,147.38,4944786
14,2023-09-20,148.36,151.9299,148.13,149.83,9636681
15,2023-09-19,145.0,146.72,144.66,146.52,3945423
16,2023-09-18,145.77,146.48,145.06,145.09,2508062
17,2023-09-15,147.11,147.85,145.53,145.99,6234033
18,2023-09-14,147.38,147.73,146.48,147.35,2723200
19,2023-09-13,145.95,146.98,145.92,146.55,2627999
20,2023-09-12,147.92,148.0,145.8,146.3,4457695
21,2023-09-11,148.57,148.78,147.58,148.38,3273720
22,2023-09-08,147.35,148.59,147.26,147.68,3722927
23,2023-09-07,148.13,148.78,147.4,147.52,3333040
24,2023-09-06,147.66,148.33,147.12,148.06,2932203
25,2023-09-05,147.91,149.0,147.5719,148.13,3731281
26,2023-09-01,147.26,148.1,146.92,147.94,2727796
27,2023-08-31,146.94,147.7275,146.54,146.83,3885949
28,2023-08-30,146.42,146.92,145.7452,146.86,2245402
29,2023-08-29,146.3,146.73,145.62,146.45,2778113
30,2023-08-28,145.41,146.74,145.21,146.02,3561347
31,2023-08-25,144.18,145.47,143.5,145.35,3660147
32,2023-08-24,143.505,144.47,143.22,143.55,2900244
33,2023-08-23,141.72,143.475,141.58,143.41,2559083
34,2023-08-22,142.66,143.225,141.3,141.49,3557734
35,2023-08-21,141.42,142.39,141.11,142.28,2937781
36,2023-08-18,140.0,141.83,139.76,141.41,3915480
37,2023-08-17,141.01,142.66,140.6,140.66,3742058
38,2023-08-16,141.7,142.09,140.56,140.64,3285347
39,2023-08-15,141.5,142.31,141.2,141.87,3656559
40,2023-08-14,143.05,143.365,141.802,141.91,4226563
41,2023-08-11,143.12,143.45,142.205,143.12,2526433
42,2023-08-10,143.04,144.58,142.69,143.25,4735763
43,2023-08-09,144.94,144.94,142.3,142.49,4073038
44,2023-08-08,145.7,146.15,144.11,145.91,4654582
45,2023-08-07,145.0,146.5,144.93,146.18,3438654
46,2023-08-04,145.09,146.09,143.99,144.24,4223204
47,2023-08-03,143.78,145.22,143.3116,144.45,3952640
48,2023-08-02,142.78,144.3,142.31,144.17,4959381
49,2023-08-01,144.25,144.48,142.17,143.33,4798703
50,2023-07-31,143.81,144.605,143.53,144.18,6138902
51,2023-07-28,143.44,143.95,142.85,143.45,6686627
52,2023-07-27,142.3,143.38,141.9,142.97,6331563
53,2023-07-26,140.44,141.25,139.88,141.07,4046441
54,2023-07-25,139.42,140.43,139.0403,140.33,3770813
55,2023-07-24,139.35,140.12,138.7788,139.54,3475442
56,2023-07-21,138.21,139.7799,137.76,138.94,5858741
57,2023-07-20,137.19,140.32,136.56,138.38,10896330
58,2023-07-19,135.53,136.45,135.19,135.48,5519992
59,2023-07-18,134.71,135.95,134.29,135.36,3852058
60,2023-07-17,133.26,134.61,133.1,134.24,3168419
61,2023-07-14,133.91,133.92,132.94,133.4,2861496
62,2023-07-13,133.51,135.07,133.36,133.92,3221422
63,2023-07-12,135.07,135.33,132.575,132.84,3732189
64,2023-07-11,133.66,134.56,133.23,134.44,2925238
65,2023-07-10,131.76,133.05,131.695,132.9,2369425
