title,url,summary,overall_sentiment_score,overall_sentiment_label,ticker_relevance_score,ticker_sentiment_score,ticker_sentiment_label,time_published
Netflix  ( NFLX )  Gains But Lags Market: What You Should Know,https://www.zacks.com/stock/news/2065717/netflix-nflx-gains-but-lags-market-what-you-should-know,"In the latest trading session, Netflix (NFLX) closed at $294.94, marking a +0.49% move from the previous day.",0.120073,Neutral,,0.2008,Somewhat-Bullish,20230314T214522
"Rob Lowe's son John Owen found out about his dad's 1988 sex tape from a classmate, not his parents",https://africa.businessinsider.com/celebrity/rob-lowes-son-john-owen-found-out-about-his-dads-1988-sex-tape-from-a-classmate-not/mt1f92c,Rob Lowe's son John Owen found out about his dad's 1988 sex tape ... - Business Insider Africa ...,-0.05518,Neutral,,0.162685,Somewhat-Bullish,20230314T210408
Paramount Global: The House of Redstone,https://www.fool.com/investing/2023/03/14/paramount-global-the-house-of-redstone/,"James B. Stewart and Rachel Abrams, co-authors of ""Unscripted: The Epic Battle for a Media Empire and the Redstone Family Legacy,"" join the podcast to dish.",0.100556,Neutral,,0.101913,Neutral,20230314T183700
VNUE PROVIDES UPDATE ON ICON METAVERSE PROJECT - Vnue  ( OTC:VNUE ) ,https://www.benzinga.com/pressreleases/23/03/n31347438/vnue-provides-update-on-icon-metaverse-project,"""Earth Arena,"" one of multiple virtual arenas, at 90% completion NEW YORK, March 14, 2023 /PRNewswire/ -- Today VNUE, Inc.",0.272609,Somewhat-Bullish,,0.073995,Neutral,20230314T181800
INDUSTRY VETERAN AND FORMER PRESIDENT OF TYLER PERRY STUDIOS MICHELLE SNEED LAUNCHES ALL-WOMEN LED CONTENT STUDIO A FEW GOOD WOMEN PRODUCTIONS,https://www.benzinga.com/pressreleases/23/03/n31347372/industry-veteran-and-former-president-of-tyler-perry-studios-michelle-sneed-launches-all-women-led,"LOS ANGELES, March 14, 2023 /PRNewswire/ -- Today, industry veteran and former president of Tyler Perry Studios Michelle Sneed, announces the launch of A Few Good Women Productions.",0.331638,Somewhat-Bullish,,0.069275,Neutral,20230314T181500
Priyanka Chopra And Anjula Acharia Celebrate South Asian Excellence At The Oscars,https://www.forbes.com/sites/yolarobert1/2023/03/14/priyanka-chopra-and-anjula-acharia-celebrate-south-asian-excellence-at-the-oscars/,Piryanka Chopra and Anjula Acharia hosted the second annual South Asian Excellence At The Oscars to bring together the community and celebrate its wins in Hollywood.,0.180117,Somewhat-Bullish,,0.091084,Neutral,20230314T172054
This Is What Whales Are Betting On Netflix - Netflix  ( NASDAQ:NFLX ) ,https://www.benzinga.com/markets/options/23/03/31345853/this-is-what-whales-are-betting-on-netflix,"Someone with a lot of money to spend has taken a bearish stance on Netflix NFLX. We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga. Whether this is an institution or just a wealthy individual, we don't know.",0.167206,Somewhat-Bullish,,0.166361,Somewhat-Bullish,20230314T164604
Best Secured Credit Cards of March 2023,https://www.businessinsider.com/personal-finance/best-secured-credit-cards,Best Secured Credit Cards of 2023 - Business Insider ...,0.560325,Bullish,,0.158149,Somewhat-Bullish,20230314T160814
Laugh Louisville Comedy Club Announces Opening Performances - Grand Opening Weekend April 1 & 2,https://www.benzinga.com/pressreleases/23/03/n31345028/laugh-louisville-comedy-club-announces-opening-performances-grand-opening-weekend-april-1-2,"LOUISVILLE, Ky., March 14, 2023 /PRNewswire/ -- Laughter can be heard once again coming from the upper level of Louisville's top entertainment and dining district, Fourth Street Live! The freshly-renovated Laugh Louisville Comedy Club will host its grand opening weekend on April 1st & 2nd ...",0.527527,Bullish,,0.227913,Somewhat-Bullish,20230314T160000
"Here's When The GameStop Movie Starring Seth Rogen, Paul Dano And Pete Davidson Hits Theaters - GameStop  ( NYSE:GME ) ",https://www.benzinga.com/general/entertainment/23/03/31343044/heres-when-the-gamestop-movie-starring-seth-rogen-paul-dano-and-pete-davidson-hits-theaters,A big-screen movie adaptation of the GameStop Corporation GME short squeeze is happening in 2023. and some big names are attached.,-0.067455,Neutral,,0.155357,Somewhat-Bullish,20230314T151652
Actor Reyn Doi On Co-Starring In 'That '90s Show': 'A Dream Come True',https://www.forbes.com/sites/davidchiu/2023/03/14/actor-reyn-doi-on-co-starring-in-that-90s-show-a-dream-come-true/,"Doi, 14, plays the witty and sarcastic teen Ozzie in the Netflix reboot of the 2000s sitcom 'That '70s Show' ...",0.249748,Somewhat-Bullish,,0.16384,Somewhat-Bullish,20230314T143019
Famous author Leigh Bardugo reaches 8-figure deal with Macmillan Publishers,https://www.foxbusiness.com/media/famous-author-leigh-bardugo-reaches-8-figure-deal-macmillan-publishers,"Million-selling author Leigh Bardugo has reached a blockbuster deal with Macmillan Publishers, an eight-figure agreement for more than a dozen books across several imprints.",0.255027,Somewhat-Bullish,,0.036389,Neutral,20230314T142943
3 Things About Netflix That Smart Investors Know,https://www.fool.com/investing/2023/03/14/3-things-about-netflix-that-smart-investors-know/,The streaming video giant's cash flow outlook appears bright.,0.272924,Somewhat-Bullish,,0.426991,Bullish,20230314T140700
