uuid,title,description,keywords,snippet,url,image_url,language,published_at,source,relevance_score,type,industry,match_score,sentiment_score
6b72b545-6092-4c93-bae9-85bb32cd3f6c,"US stock market report – Amazon whacked, Apple beats expectations","US stock markets moved sharply lower on Friday as economic growth, inflation and corporate results continue to bite.",,"The week ended the same way it began in US stock markets with all three benchmarks moving sharply lower as economic growth, inflation and corporate results cont...",https://www.raskmedia.com.au/2022/05/02/us-stock-market-report-amazon-whacked-apple-beats-expectations/,https://www.raskmedia.com.au/wp-content/uploads/2022/03/us-stock-market-analysis-news.png,en,2022-05-01T21:14:19.000000Z,raskmedia.com.au,,equity,Technology,41.573975,0.25895
2862c79d-3c72-4e88-bd71-d6a91702ba75,Stock futures inch higher after the Nasdaq posts worst month since 2008,U.S. stock index futures were modestly higher in overnight trading on Sunday.,"Wall Street, Economy, Markets, Breaking News: Business, Breaking News: Investing, Breaking News: Markets, Stock markets, United States, business news","Traders work on the floor of the New York Stock Exchange.

U.S. stock index futures inched higher during overnight trading Sunday after the Nasdaq Composite Ind...",https://www.cnbc.com/2022/05/01/stock-market-futures-open-to-close-news.html,https://image.cnbcfm.com/api/v1/image/107051091-Traders-OB-Photo-220425-CC-PRESS-1.jpg?v=1650901454&w=1920&h=1080,en,2022-05-01T22:03:09.000000Z,cnbc.com,,equity,Technology,29.734001,0.6908
fc521603-bd74-48a4-9e52-d39caf1401a1,Apple Stock Is Looking Ripe For A Rally,Selling juicy puts to get paid now to be a buyer of AAPL stock later and lower.,"Stocks, Finance","Selling juicy puts to get paid now to be a buyer of AAPL stock later and lower.



shutterstock.com - StockNews

NASDAQ stocks had their worst month since the F...",https://www.entrepreneur.com/article/426496,https://assets.entrepreneur.com/providers/stocknews/hero-image-stocknews-426496.jpeg,en,2022-05-01T16:26:53.000000Z,entrepreneur.com,,equity,Technology,22.613289,0.011983
41bb3543-3c63-423d-b269-5f15e2d654c9,3 Companies Growing Earnings Fast,GuruFocus Article or News written by Alberto Abaterusso and the topic is about: Their 5-year earnings growth rates are higher than that of the S&P 500,"GuruFocus, Article, News, Alberto Abaterusso, Warren Buffett, AAPL, NVDA, FB",The S&P 500 saw the trailing 12-month real earnings per share of its member companies increase by a compound annual growth rate of 12.6% over the past five year...,https://www.gurufocus.com/news/1699986/read,https://static.gurufocus.com/1400565066247458816.jpeg,en,2022-05-01T18:26:11.000000Z,gurufocus.com,,equity,Technology,16.793632000000002,0.5836
9bb00cea-f43a-48cd-8286-e0ad8bb08991,Apple’s Numbers Complete Trifecta,"Stocks Analysis by MarketBeat.com (Sam Quirke) covering: Nasdaq 100, Microsoft Corporation, Apple Inc, Meta Platforms Inc. Read MarketBeat.com (Sam Quirke)'s latest article on Investing.com",,"You could almost hear the collective sigh of relief after Apple (NASDAQ: ) released its report at the end of Thursday's session.

Investors had already found so...",https://www.investing.com/analysis/apples-numbers-complete-trifecta-200623237,https://i-invdn-com.investing.com/redesign/images/seo/investingcom_analysis_og.jpg,en,2022-05-01T05:08:00.000000Z,investing.com,,equity,Technology,15.46934,0.541033
23fbe9e5-6d24-4a95-8e8d-d30fd761e27d,Deflating Tech Multiples,Forward P/E multiples for big-Tech are in mid-digits. Amazon's drawdown forebodes similar stock moves for Apple and Microsoft. Click here to read more.,,"4kodiak/iStock Unreleased via Getty Images

Markets keep struggling because hot inflation must be met with a blunt force. It is a brutal reality for inflated va...",https://seekingalpha.com/article/4505618-deflating-tech-multiples,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1252468735/image_1252468735.jpg?io=getty-c-w750,en,2022-05-01T08:03:28.000000Z,seekingalpha.com,,equity,Technology,13.392599,0.05754
fd63817e-d355-40f6-bafd-40833594339b,Microeconomics Definition,Microeconomics is a branch of economics that analyzes market behavior of individuals and firms in order to understand their decision-making processes.,,"What Is Microeconomics?

Microeconomics is the social science that studies the implications of incentives and decisions, specifically about how those affect the...",https://www.investopedia.com/terms/m/microeconomics.asp,"https://www.investopedia.com/thmb/dTITW_kmefIG8mIycH9-mbzN0Uw=/680x440/filters:fill(auto,1)/investing6-5bfc2b8ec9e77c005143f13b.jpg",en,2022-05-01T23:43:45.000000Z,investopedia.com,,equity,Technology,11.73062611111111,0.7430000000000001
ec0471d3-baee-4431-9f23-7b8fc1500c86,"Paramount Global Stock: 13.86% Yield, No Longer A Trap (NASDAQ:PARA)","When we last covered Paramount Global (PARA), we gave it a strong buy rating. See why we still like PARA stock and it remains our best play in the media sector.",,"Eamonn M. McCormack/Getty Images Entertainment

When we last covered Paramount Global (NASDAQ:PARA), we identified the key risk that we worried about.

The risk...",https://seekingalpha.com/article/4505622-paramount-global-shares-no-longer-trap,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1199731153/image_1199731153.jpg?io=getty-c-w750,en,2022-05-01T08:47:10.000000Z,seekingalpha.com,,equity,Technology,8.780422888888888,0.3612000000000001
46103ac2-7918-479f-a327-4d406ee55f82,ASX Today: Mayday! Stocks set to tumble after US tanks,A new month was set for a rough start after Wall Street’s…,,"Be the first with the news that moves the market

Subscribe Be the first with the news that moves the market

A new month was set for a rough start after Wall S...",https://themarketherald.com.au/asx-today-mayday-stocks-set-to-tumble-after-us-tanks-2022-05-02/,https://themarketherald.com.au/wp-content/uploads/2022/02/eod-trading-hero-image.jpg,en,2022-05-01T21:36:34.000000Z,themarketherald.com.au,,equity,Technology,9.308048,0.046
fef0e761-9a00-44df-9f03-259dc61b16be,Apple (NASDAQ:AAPL) PT Set at $170.00 by Sanford C. Bernstein,Read Apple (NASDAQ:AAPL) PT Set at $170.00 by Sanford C. Bernstein at ETF Daily News,"Apple, NASDAQ:AAPL, AAPL, Computer and Technology, 03783310, Set Price Target, Sanford C. Bernstein","Apple (NASDAQ:AAPL – Get Rating) has been assigned a $170.00 target price by investment analysts at Sanford C. Bernstein in a report issued on Monday, Borsen ...",https://www.etfdailynews.com/2022/05/02/apple-nasdaqaapl-pt-set-at-170-00-by-sanford-c-bernstein/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/apple-inc-logo.png&w=240&h=240&zc=2,en,2022-05-02T05:06:46.000000Z,etfdailynews.com,,equity,Technology,27.893302666666663,0.3344154444444445
