uuid,title,description,keywords,snippet,url,image_url,language,published_at,source,relevance_score,type,industry,match_score,sentiment_score
115fe218-a4e2-46cf-8dc7-78af87a9dcfa,US State Dept OKs possible sale of Apache helicopters to Poland for $12 billion -Pentagon,...,Markets,"The Boeing Company is the worldwide leader in aeronautical construction. Net sales break down by market as follows: - defense, space and security (34.6%): milit...",https://www.marketscreener.com/quote/stock/BOEING-4816/news/US-State-Dept-OKs-possible-sale-of-Apache-helicopters-to-Poland-for-12-billion-Pentagon-44663102/,https://img.zonebourse.com/reuters/2022-05/2022-05-26T213148Z_2_LYNXNPEI4P0WJ_RTROPTP_3_HEALTH-CORONAVIRUS-USA-MILITARY.JPG,en,2023-08-21T19:15:00.000000Z,marketscreener.com,,equity,Industrials,26.017205571428573,0.0
225e81c5-7c8b-4675-a514-bb3b3486cf9d,PPA: Is This Aerospace & Defense ETF Set To Soar?,iShares US Aerospace & Defense ETF tracks an index with an impressive 25-year track record that beats the S&P 500 Index. Click here for more on PPA ETF.,,"phaisarn2517

Investment Thesis

The Invesco Aerospace & Defense ETF (NYSEARCA:PPA) has outperformed the Industrial Select Sector SPDR ETF (XLI) by 1.68% per ye...",https://seekingalpha.com/article/4630051-ppa-is-this-aerospace-and-defense-etf-set-to-soar,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1413169099/image_1413169099.jpg?io=getty-c-w1536,en,2023-08-21T19:19:01.000000Z,seekingalpha.com,,equity,Industrials,8.572539857142857,0.4215
043df7b8-eb42-4889-a64f-5a441eddcd51,"Qantas Airways Likely To Reach New Boeing 787 Widebody Order: Report - Qantas Airways (OTC:QABSY), Boeing (NYSE:BA)",Boeing Co (NYSE: BA) is likely to reach a deal for more of its 787 Dreamliner aircraft from Qantas Airways Ltd (OTC: QABSY) in Australia.,,"Boeing Co BA is likely to reach a deal for more of its 787 Dreamliner aircraft from Qantas Airways Ltd QABSY in Australia.

The number of the aircraft remains u...",https://www.benzinga.com/markets/equities/23/08/33977821/qantas-airways-likely-to-reach-new-boeing-787-widebody-order-report,https://cdn.benzinga.com/files/images/story/2023/08/22/ba_2.png?width=1200&height=800&fit=crop,en,2023-08-22T10:25:21.000000Z,benzinga.com,,equity,N/A,41.164491999999996,0.085325
13bd7e46-9802-4813-a668-870f40e2eea3,Ride the Wave: 4 eVTOL Stocks to Keep an Eye On,"On my Sunday watchlist, I shared a stock in a brewing hot sector…  And it’s already up 15% since my watchlist went out!  This could be a potential swing trade…  And it could spark other stocks in the sector.  If you think the previous EV stock run was crazy — this could be the future……",,"By Tim Bohen From StocksToTrade

On my Sunday watchlist, I shared a stock in a brewing hot sector…

And it’s already up 15% since my watchlist went out!

Th...",https://stockstotrade.com/ride-the-wave-4-evtol-stocks-to-keep-an-eye-on/,https://stockstotrade.com/wp-content/uploads/2022/03/378707860-daily_accelerator_blog.jpg,en,2023-08-22T14:48:58.000000Z,stockstotrade.com,,equity,Industrials,19.152908857142858,0.0
c525ce45-f9d2-4804-bce7-d3e76c12327b,World Defense Budget Analysis and Outlook 2023-2028: Lucrative Opportunities in Cyber Defense,/PRNewswire/ -- The,Research and Markets,"DUBLIN, Aug. 22, 2023 /PRNewswire/ -- The ""World Defense Budget Analysis by Allocation Type and Region - Forecast to 2028"" report has been added to ResearchAndM...",https://www.prnewswire.com/news-releases/world-defense-budget-analysis-and-outlook-2023-2028-lucrative-opportunities-in-cyber-defense-301906657.html,https://mma.prnewswire.com/media/539438/Research_and_Markets_Logo.jpg?p=facebook,en,2023-08-22T17:15:00.000000Z,prnewswire.com,,equity,Industrials,13.478868857142855,0.6807999999999998
56e7a3d9-c579-435c-97ad-1ef4340efc8c,VMware Advances Autonomous Workspaces with AI-Powered Integrations,"Innovations Across Digital Employee Experience, Virtual Desktop Infrastructure and Apps, and Unified Endpoint Management Offerings Help Simplify and Streamline Hybrid Work


Boeing Recognized as A...",Markets,"Innovations Across Digital Employee Experience, Virtual Desktop Infrastructure and Apps, and Unified Endpoint Management Offerings Help Simplify and Streamline ...",https://www.marketscreener.com/quote/stock/VMWARE-INC-58476/news/VMware-Advances-Autonomous-Workspaces-with-AI-Powered-Integrations-44669067/,https://www.marketscreener.com/images/twitter_MS_fdblanc.png,en,2023-08-22T12:10:02.000000Z,marketscreener.com,,equity,Industrials,10.782462285714287,0.7184
ea4ae56e-aa19-416e-bd59-c5073c0cbd7e,4 Airline Stocks Ready to Take Off With 50%+ Earnings Surge,"Stocks Analysis by Investing.com (Ismael De La Cruz) covering: Boeing Co, Southwest Airlines Company, Delta Air Lines Inc, United Airlines Holdings Inc. Read Investing.com (Ismael De La Cruz)'s latest article on Investing.com",,BA +1.25% Add to/Remove from Watchlist LUV -1.32% Add to/Remove from Watchlist DAL -0.31% Add to/Remove from Watchlist UAL -0.40% Add to/Remove from Watchlist H...,https://www.investing.com/analysis/4-airline-stocks-ready-to-take-off-with-50-earnings-surge-200641218,https://i-invdn-com.investing.com/redesign/images/seo/investingcom_analysis_og.jpg,en,2023-08-23T09:55:00.000000Z,investing.com,,equity,Industrials,13.554353,0.296
53909486-6b62-4406-ac64-f8f981b56570,"Norwegian Air feeling more positive on Boeing MAX 10, CEO says By Reuters","Norwegian Air feeling more positive on Boeing MAX 10, CEO says",,"Published Aug 24, 2023 08:50AM ET Updated Aug 24, 2023 08:55AM ET

© Reuters. FILE PHOTO: CEO of Norwegian Air Geir Karlsen attends a press conference about th...",https://www.investing.com/news/stock-market-news/norwegian-air-feeling-more-positive-on-boeing-max-10-ceo-says-3160755,https://i-invdn-com.investing.com/news/LYNXNPEBA90F4_L.jpg,en,2023-08-24T12:55:37.000000Z,investing.com,,equity,Industrials,17.727383,0.0322
0ae7d45e-af44-4bef-9148-55aa30116055,CIO Leadership: The Steps Needed to Build a High-Performance Culture Will Power the Discussion at the 2023 St. Louis CIO Executive Leadership Summit on October 5,Other hot topics to be explored at this event include leveraging hot technologies to lower costs and drive business growth...,"HMG Strategy, St. Louis CIO Conferences, CIO Leadership, CIO Summits, HMG Strategy, Hunter Muller","WESTPORT, Conn., Aug. 24, 2023 (GLOBE NEWSWIRE) -- HMG Strategy, the World’s #1 platform for enabling technology executives to reimagine the enterprise and re...",https://www.globenewswire.com/news-release/2023/08/24/2731467/0/en/CIO-Leadership-The-Steps-Needed-to-Build-a-High-Performance-Culture-Will-Power-the-Discussion-at-the-2023-St-Louis-CIO-Executive-Leadership-Summit-on-October-5.html,https://ml.globenewswire.com/Resource/Download/6e05ac8d-d2e7-492c-ad71-0e262d490e75,en,2023-08-24T16:17:00.000000Z,globenewswire.com,,equity,Industrials,13.167303142857147,0.3062
4e9e8fe6-bd8a-4c41-80d7-875a22a07274,Aerospace Fasteners Market to Reach USD 9.88 Billion by 2030 | With 7.16% CAGR,"The Aerospace Fasteners Market Covered Major Segments Size, Share & COVID-19 Impact Analysis, By Product (Rivets, Screws, Nuts & Bolts, and Others), By...","Fortune Business Insights, Aerospace Fasteners Market, Aerospace Fasteners Industry","Pune, India, Aug. 24, 2023 (GLOBE NEWSWIRE) -- The global aerospace fasteners market stood at USD 5.37 billion in 2022 and is expected to rise from USD 6.09 bil...",https://www.globenewswire.com/news-release/2023/08/24/2731133/0/en/Aerospace-Fasteners-Market-to-Reach-USD-9-88-Billion-by-2030-With-7-16-CAGR.html,https://ml.globenewswire.com/Resource/Download/05408ba1-26b1-4fdd-8f48-1af4df373348,en,2023-08-24T12:10:00.000000Z,globenewswire.com,,equity,Industrials,11.736492,0.25
