uuid,title,description,keywords,snippet,url,image_url,language,published_at,source,relevance_score,type,industry,match_score,sentiment_score
f23e9e12-9a8c-4979-ba7c-469480113348,What's Going On With Bitcoin: New 52-Week High,"Bitcoin (CRYPTO: BTC) marked a new 52-week high of $38,392.79 Friday as multiple catalysts push crypto markets higher.",,"Loading... Loading... Loading...

Bitcoin BTC/USD marked a new 52-week high of $38,392.79 Friday as multiple catalysts push crypto markets higher.

The Details:...",https://www.benzinga.com/markets/cryptocurrency/23/11/35942534/whats-going-on-with-bitcoin-new-52-week-high,https://cdn.benzinga.com/files/images/story/2023/11/24/bitcoin_btc_binance_cz_etf_milei_.png?width=1200&height=800&fit=crop,en,2023-11-24T17:17:23.000000Z,benzinga.com,,cryptocurrency,N/A,54.799904,0.4588
076f5dc4-ee35-45dc-b8cf-753d611c7193,What's Going On With CleanSpark Inc Stock? - Cleanspark (NASDAQ:CLSK),"CleanSpark, Inc. (NASDAQ: CLSK) shares are trading higher Friday as Bitcoin (CRYPTO: BTC) reaches new 52-week highs",,"Loading... Loading... Loading...

CleanSpark, Inc. CLSK shares are trading higher Friday as Bitcoin BTC/USD reaches new 52-week highs amid volatility in crypto ...",https://www.benzinga.com/markets/cryptocurrency/23/11/35942127/whats-going-on-with-cleanspark-inc-stock,https://cdn.benzinga.com/files/images/story/2023/11/24/cleanspark_inc_stock_clsk_shares_bitcoin_btc_.png?width=1200&height=800&fit=crop,en,2023-11-24T17:19:44.000000Z,benzinga.com,,cryptocurrency,N/A,53.699455,0.5574
37f995d3-e106-4659-bca3-391298988331,"Ethereum Tops $2,100; Blur Emerges As Top Gainer","Bitcoin (CRYPTO: BTC) moved higher, with the cryptocurrency prices trading past the $37,700 level on Friday. Ethereum (CRYPTO: ETH) also recorded gains, trading above the key $2,100 mark this morning.",,"Loading... Loading... Loading...

Bitcoin BTC/USD moved higher, with the cryptocurrency prices trading past the $37,700 level on Friday.

Ethereum ETH/USD also ...",https://www.benzinga.com/markets/cryptocurrency/23/11/35939778/ethereum-tops-2-100-blur-emerges-as-top-gainer,https://cdn.benzinga.com/files/images/story/2023/11/24/ethereum_-_logo.jpg?width=1200&height=800&fit=crop,en,2023-11-24T14:31:32.000000Z,benzinga.com,,cryptocurrency,N/A,51.631126,-0.0516
840f1a74-4c7c-4da2-b69c-f01a2982a08d,Macro Guru Raoul Pal Is Thankful For 2 Things This Thanksgiving — Bitcoin And Total Crypto Market Cap,Macro Guru Raoul Pal on Thursday said he is thankful for two things this Thanksgiving: Bitcoin (CRYPTO: BTC) and the total market capitalization of cryptocurrencies.,,"Loading... Loading... Loading...

Macro Guru Raoul Pal on Thursday said he is thankful for two things this Thanksgiving: Bitcoin BTC/USD and the total market ca...",https://www.benzinga.com/markets/cryptocurrency/23/11/35937955/macro-guru-raoul-pal-is-thankful-for-2-things-this-thanksgiving-bitcoin-and-total-crypto-m,https://cdn.benzinga.com/files/images/story/2023/Bitcoin_20.jpeg?width=1200&height=800&fit=crop,en,2023-11-24T12:08:55.000000Z,benzinga.com,,cryptocurrency,N/A,50.664795,0.7351
cfbead35-af59-4ec6-a52b-9ed666f3ec4d,"Bitcoin Lightning Payment App Wallet Of Satoshi Abruptly Vanishes From Google Play, Apple App Stores: What Just Happened?","Bitcoin (CRYPTO: BTC) Lightning payments application, Wallet of Satoshi (WoS), has abruptly disappeared from the U.S. versions of both Google’s Play Store and Apple’s App Store.",,"Loading... Loading... Loading...

Bitcoin BTC/USD Lightning payments application, Wallet of Satoshi (WoS), has abruptly disappeared from the U.S. versions of bo...",https://www.benzinga.com/markets/cryptocurrency/23/11/35936797/bitcoin-lightning-payment-app-wallet-of-satoshi-abruptly-vanishes-from-google-play-apple-a,https://cdn.benzinga.com/files/images/story/2023/Satoshi-Nakamoto.jpeg?width=1200&height=800&fit=crop,en,2023-11-24T09:56:39.000000Z,benzinga.com,,cryptocurrency,N/A,49.72915,0.128
53846a0f-e6da-4574-a6c7-23f76544d2a4,Sam Bankman Fried Is Using A New Currency In Prison To Get Favors From Inmates — Fish,"In the confines of New York's Metropolitan Detention Center, Sam Bankman-Fried, the former crypto magnate is adapting to the prison’s underground economy.",,"Loading... Loading... Loading...

In the confines of New York's Metropolitan Detention Center, Sam Bankman-Fried, the former crypto magnate is adapting to the p...",https://www.benzinga.com/markets/cryptocurrency/23/11/35935010/sam-bankman-fried-is-using-a-new-currency-in-prison-to-get-favors-from-inmates-fish,https://cdn.benzinga.com/files/images/story/2023/Sam-Bankman-Fried.jpeg?width=1200&height=800&fit=crop,en,2023-11-24T03:49:53.000000Z,benzinga.com,,cryptocurrency,N/A,46.31748,0.0
af6cb597-240d-4361-950c-ec73c8077d21,"Jim Cramer Says He Was 'Premature' In Selling Bitcoin: 'If You Like Bitcoin, Buy Bitcoin'","CNBC TV host Jim Cramer acknowledged a misstep in his assessment of Bitcoin (CRYPTO: BTC). What Happened: During an episode that aired Wednesday, Cramer addressed a viewer’s question about investing in Bitcoin mining company CleanSpark.",,"Loading... Loading... Loading...

CNBC TV host Jim Cramer acknowledged a misstep in his assessment of Bitcoin BTC/USD.

What Happened: During an episode that ai...",https://www.benzinga.com/markets/cryptocurrency/23/11/35935172/jim-cramer-says-he-was-premature-in-selling-bitcoin-if-you-like-bitcoin-buy-bitcoin,https://cdn.benzinga.com/files/images/story/2023/Jim-Cramer-Photo-by-s-bukley-on-Shutters_0.jpeg?width=1200&height=800&fit=crop,en,2023-11-24T04:33:49.000000Z,benzinga.com,,cryptocurrency,N/A,46.31748,0.3612
fb8f7f7d-65f6-4de4-9e02-d182f1396a48,"ETF Hype, Binance Settlement Ignites Bitcoin Rally; Shiba Inu, Dogecoin Soar: Will $40,000 Be The Next BTC Target?","Bitcoin (CRYPTO: BTC) has broken the psychologically important level of $38,000 amidst the hype surrounding the potential approval of spot Bitcoin exchan",,"Loading... Loading... Loading...

Bitcoin BTC/USD has broken the psychologically important level of $38,000 amidst the hype surrounding the potential approval o...",https://www.benzinga.com/markets/cryptocurrency/23/11/35942163/etf-hype-binance-settlement-ignites-bitcoin-rally-shiba-inu-dogecoin-soar-will-40-000-be-t,https://cdn.benzinga.com/files/images/story/2023/11/24/crypto.tokens.up_.shutterstock_2156345751.jpg?width=1200&height=800&fit=crop,en,2023-11-24T17:38:09.000000Z,benzinga.com,,cryptocurrency,N/A,46.312256,0.6369
29362182-7449-4a70-95e0-46de789746bd,Oops! Bitcoin User Accidentally Pays Whopping $3M In Transaction Fee,"In an unprecedented event, a Bitcoin (CRYPTO: BTC) sender has reportedly paid a staggering $3 million in transaction fees.",,"Loading... Loading... Loading...

In an unprecedented event, a Bitcoin BTC/USD sender has reportedly paid a staggering $3 million in transaction fees.

What Hap...",https://www.benzinga.com/markets/cryptocurrency/23/11/35936435/oops-bitcoin-user-accidentally-pays-whopping-3m-in-transaction-fee,https://cdn.benzinga.com/files/images/story/2023/Bitcoin-Zero-Knowledge-Proofs.jpeg?width=1200&height=800&fit=crop,en,2023-11-24T09:19:04.000000Z,benzinga.com,,cryptocurrency,N/A,44.788902,0.2263
b0d39ca4-3f6c-4f56-a024-fec66ce7493a,Crypto-exposed stocks dominate financial gainers in holiday-shortened week (NYSE:LU),"This article discusses the top gainers and losers in the financial sector, including prominent bitcoin companies and asset management firms.",,"This week's top five biggest gainers in the financials sector consisted of one crypto exchange, two bitcoin (BTC-USD) miners, and two asset management firms. On...",https://seekingalpha.com/news/4040154-crypto-exposed-stocks-dominate-financial-gainers-in-holiday-shortened-week,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1484913435/image_1484913435.jpg?io=getty-c-w750,en,2023-11-25T15:34:00.000000Z,seekingalpha.com,,cryptocurrency,N/A,74.46085,0.20215
