uuid,title,description,keywords,snippet,url,image_url,language,published_at,source,relevance_score,type,industry,match_score,sentiment_score
55c1f1c5-5ba7-4997-a085-610d2438abe5,"Netflix, Inc. (NASDAQ:NFLX) Receives Average Recommendation of “Hold” from Analysts","Read Netflix, Inc. (NASDAQ:NFLX) Receives Average Recommendation of “Hold” from Analysts at ETF Daily News","Netflix, NASDAQ:NFLX, NFLX, Consumer Discretionary, 64110L10, Ratings, Consensus","Shares of Netflix, Inc. (NASDAQ:NFLX – Get Rating) have been given a consensus recommendation of “Hold” by the forty-four analysts that are presently cove...",https://www.etfdailynews.com/2022/09/12/netflix-inc-nasdaqnflx-receives-average-recommendation-of-hold-from-analysts/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/netflix-inc-logo.jpg&w=240&h=240&zc=2,en,2022-09-12T08:42:45.000000Z,etfdailynews.com,,equity,Communication Services,66.67239466666668,0.461582
d77381d1-0fa7-428f-87dc-47d1bc50d0bd,"Horizon Investments LLC Sells 1,087 Shares of Netflix, Inc. (NASDAQ:NFLX)","Read Horizon Investments LLC Sells 1,087 Shares of Netflix, Inc. (NASDAQ:NFLX) at ETF Daily News","Netflix, NASDAQ:NFLX, NFLX, Consumer Discretionary, 64110L10, SEC Filings, 13F, Hedge Fund Holdings, Institutional Investor Holdings","Horizon Investments LLC decreased its holdings in shares of Netflix, Inc. (NASDAQ:NFLX – Get Rating) by 17.7% in the first quarter, according to the company i...",https://www.etfdailynews.com/2022/09/12/horizon-investments-llc-sells-1087-shares-of-netflix-inc-nasdaqnflx/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/netflix-inc-logo.jpg&w=240&h=240&zc=2,en,2022-09-12T09:17:18.000000Z,etfdailynews.com,,equity,Communication Services,66.55955633333333,0.34379849999999995
b8a5e67a-bc27-4689-a72e-44c8ef597242,"Netflix, Inc. (NASDAQ:NFLX) Holdings Decreased by Cresset Asset Management LLC","Read Netflix, Inc. (NASDAQ:NFLX) Holdings Decreased by Cresset Asset Management LLC at ETF Daily News","Netflix, NASDAQ:NFLX, NFLX, Consumer Discretionary, 64110L10, SEC Filings, 13F, Hedge Fund Holdings, Institutional Investor Holdings","Cresset Asset Management LLC decreased its holdings in shares of Netflix, Inc. (NASDAQ:NFLX – Get Rating) by 39.8% during the first quarter, according to its ...",https://www.etfdailynews.com/2022/09/12/netflix-inc-nasdaqnflx-holdings-decreased-by-cresset-asset-management-llc/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/netflix-inc-logo.jpg&w=240&h=240&zc=2,en,2022-09-12T10:26:43.000000Z,etfdailynews.com,,equity,Communication Services,66.56256033333334,0.375064
b765d08e-a21a-41ae-8a32-e3d02c76c687,Netflix (NASDAQ:NFLX) – What Are Whales Doing With Netflix,Someone with a lot of money to spend has taken a bullish stance on Netflix (NASDAQ:NFLX). And retail traders should know. We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga.,,"Someone with a lot of money to spend has taken a bullish stance on Netflix NFLX.

And retail traders should know.

We noticed this today when the big position s...",https://www.benzinga.com/markets/options/22/09/28831596/what-are-whales-doing-with-netflix,https://cdn.benzinga.com/files/images/story/2022/movers_image_16753.jpeg?width=1200&height=800&fit=crop,en,2022-09-12T15:08:10.000000Z,benzinga.com,,equity,Communication Services,70.05217,0.328811
5567f2fa-2b96-4bab-bcbb-46f0f3083ebd,Netflix teams with Ubisoft for three new mobile games (NASDAQ:NFLX),"Netflix (NFLX) is teaming up with Ubisoft (UBSFY) on three mobile games based on the videogame maker's franchises, further amping up Netflix's expanding presence in games",,"To ensure this doesn’t happen in the future, please enable Javascript and cookies in your browser.

If you have an ad-blocker enabled you may be blocked from ...",https://seekingalpha.com/news/3882069-netflix-teams-with-ubisoft-for-three-new-mobile-games,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1155520908/image_1155520908.jpg?io=getty-c-w750,en,2022-09-12T16:31:22.000000Z,seekingalpha.com,,equity,Communication Services,59.00837,0.0
84ee0b29-14ec-4add-ba0d-9f92e4025201,10 Stocks to Buy Now According to Billionaire David Tepper,"In this article, we will be taking a look at the 10 Stocks to Buy Now According to Billionaire David Tepper.",,"In this article, we will be taking a look at the 10 Stocks to Buy Now According to Billionaire David Tepper. To skip our analysis of David Tepper’s profile, i...",https://www.insidermonkey.com/blog/10-stocks-to-buy-now-according-to-billionaire-david-tepper-1065238/,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2022/09/12054108/David-Tepper.jpg,en,2022-09-12T17:49:56.000000Z,insidermonkey.com,,equity,Communication Services,21.28667,0.24195416666666666
016d4735-dd99-496e-9ee4-de32f2d33d17,Netflix (NFLX) Partners With Ubisoft to Expand Gaming Portfolio,"Netflix (NFLX) is expanding its mobile gaming offerings by partnering with Ubisoft, which promises three exclusive games for the streaming giant's users.","stock, stocks, investment, investment advice, investing, online trading, online investment, online stock trading, stock market, financial, financial planning, quote, quotes, stock quotes","This page has not been authorized, sponsored, or otherwise approved or endorsed by the companies represented herein. Each of the company logos represented herei...",https://www.zacks.com/stock/news/1979467/netflix-nflx-partners-with-ubisoft-to-expand-gaming-portfolio?cid=CS-ZC-FT-analyst_blog|company_news_-_corporate_actions-1979467,https://staticx-tuner.zacks.com/images/articles/main/be/92.jpg,en,2022-09-12T17:22:00.000000Z,zacks.com,,equity,Communication Services,28.367249,0.3182
cdddc7bc-cb5c-4f7f-bba3-0a06598c1639,‘The Crown’ interest surges on Netflix after death of Queen Elizabeth II,"The program was the 10th most in-demand show across all streaming platforms on Sept. 9, according to Parrot Analytics data.","article_normal, Multimedia Content Services, Media Content Distribution, Online Service Providers, Media/Entertainment, Streaming Services, Technology, Political/General News, Arts/Entertainment, Royal Families, Television/Radio, Content Types, Headline-Only Content, Netflix Inc., NFLX, political, general news, arts, entertainment, royal families, television, radio, content types, headline-only content, multimedia content services, media content distribution, online service providers, media, streaming services, technology","As the U.K. braces for massive crowds ahead of Queen Elizabeth II’s funeral, many people have chosen to honor her by watching her life story at home.

Interes...",https://www.marketwatch.com/story/the-crown-interest-surges-on-netflix-after-death-of-queen-elizabeth-ii-11663018098,https://images.mktw.net/im-621244/social,en,2022-09-12T21:28:00.000000Z,marketwatch.com,,equity,Communication Services,27.22266933333334,-0.29985
fd569941-4bbc-47c9-800d-db9657f3358d,Peloton's John Foley to step down from executive chair's role By Reuters,Peloton's John Foley to step down from executive chair's role,,"2/2 © Reuters. John Foley, co-founder and CEO of Peloton Interactive, attends the annual Allen and Co. Sun Valley Media Conference in Sun Valley, Idaho, U.S., ...",https://www.investing.com/news/stock-market-news/pelotons-john-foley-to-step-down-from-executive-chairs-role-2890568,https://i-invdn-com.investing.com/news/moved_LYNXMPEH6J0UN_L.jpg,en,2022-09-12T20:47:05.000000Z,investing.com,,equity,Communication Services,19.467496833333332,0.296
2f9273da-550f-4e92-b282-d471de300384,"First Republic Investment Management Inc. Reduces Holdings in Netflix, Inc. (NASDAQ:NFLX)","Read First Republic Investment Management Inc. Reduces Holdings in Netflix, Inc. (NASDAQ:NFLX) at ETF Daily News","Netflix, NASDAQ:NFLX, NFLX, Consumer Discretionary, 64110L10, SEC Filings, 13F, Hedge Fund Holdings, Institutional Investor Holdings","First Republic Investment Management Inc. reduced its holdings in shares of Netflix, Inc. (NASDAQ:NFLX – Get Rating) by 4.2% in the first quarter, according t...",https://www.etfdailynews.com/2022/09/13/first-republic-investment-management-inc-reduces-holdings-in-netflix-inc-nasdaqnflx/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/netflix-inc-logo.jpg&w=240&h=240&zc=2,en,2022-09-13T09:46:44.000000Z,etfdailynews.com,,equity,Communication Services,62.08725233333333,0.267264
