title,url,summary,overall_sentiment_score,overall_sentiment_label,ticker_relevance_score,ticker_sentiment_score,ticker_sentiment_label,time_published,neg,neu,pos,compound
"Biden seeks new funding for air traffic controllers, Amtrak",https://www.reuters.com/business/aerospace-defense/biden-seeks-new-funding-air-traffic-controllers-amtrak-2023-03-13/,"WASHINGTON, March 13 ( Reuters ) - The Biden administration on Monday released details on a new proposal calling for more funding for more air traffic controllers and to speed modernization efforts after a computer outage led to the first nationwide flight grounding since 2001.",0.098411,Neutral,,0.03107,Neutral,20230313T221137,0.0,1.0,0.0,0.0
Boeing  ( BA )  Gains As Market Dips: What You Should Know,https://www.zacks.com/stock/news/2065016/boeing-ba-gains-as-market-dips-what-you-should-know,"Boeing (BA) closed at $203.37 in the latest trading session, marking a +0.15% move from the prior day.",0.089849,Neutral,,0.113828,Neutral,20230313T214519,0.0,1.0,0.0,0.0
News Exclusive | Boeing Expected to Sell About 80 Dreamliners in Saudi Airline Deal,https://www.wsj.com/articles/boeing-expected-to-sell-about-80-dreamliners-in-saudi-airline-deal-4905921e,"Two Saudi Arabian airlines are nearing a deal to buy a total of about 80 Boeing 787 Dreamliners with options for some 40 more, another significant order for the American aircraft manufacturer.",0.290045,Somewhat-Bullish,,0.19265,Somewhat-Bullish,20230313T202700,0.0,0.937,0.063,0.2682
Saudi Arabia has announced a new airline to bring in tourists as it tries to attract 100 million visitors to the kingdom by 2030,https://africa.businessinsider.com/transportation/saudi-arabia-has-announced-a-new-airline-to-bring-in-tourists-as-it-tries-to-attract/xq3gzff,Saudi Arabia has announced a new airline to bring in tourists as it ... - Business Insider Africa ...,0.172456,Somewhat-Bullish,,0.146195,Neutral,20230313T200230,0.0,1.0,0.0,0.0
Saudi Arabia has announced a new airline to bring in tourists as it tries to attract 100 million visitors to the kingdom by 2030,https://www.businessinsider.com/saudia-arabia-establishing-new-airline-to-attract-tourists-riyadh-air-2023-3,Saudia Arabia Establishing New Airline to Attract Tourists. Riyadh Air - Business Insider ...,0.177255,Somewhat-Bullish,,0.145019,Neutral,20230313T200230,0.0,0.839,0.161,0.3612
Boeing expected to sell nearly 80 787 planes to Saudi airlines -source,https://www.reuters.com/business/aerospace-defense/boeing-expected-sell-nearly-80-787-planes-saudi-airlines-source-2023-03-13/,Boeing expected to sell nearly 80 787 planes to Saudi airlines ...,0.036852,Neutral,,0.115592,Neutral,20230313T194300,0.0,1.0,0.0,0.0
"Embraer  ( ERJ )  Q4 Earnings Lag Estimates, Revenues Rise Y/Y",https://www.zacks.com/stock/news/2064912/embraer-erj-q4-earnings-lag-estimates-revenues-rise-yy,Embraer's (ERJ) Q4 2023 adjusted earnings of 24 cents per ADS miss the Zacks Consensus Estimate of 30 cents per ADS.,0.096324,Neutral,,0.068584,Neutral,20230313T163500,0.074,0.926,0.0,-0.1531
Lockheed Martin  ( LMT )  Wins $164.3M Contract for UH-60M Aircraft,https://www.zacks.com/stock/news/2064913/lockheed-martin-lmt-wins-1643m-contract-for-uh-60m-aircraft,"Lockheed Martin's (LMT) arm, Sikorsky, clinches a $164.3-million contract for UH-60M aircraft.",0.426799,Bullish,,0.441902,Bullish,20230313T163400,0.0,1.0,0.0,0.0
Amazon Presses For Level Playing Field On Which To Compete With SpaceX's Starlink,https://www.forbes.com/sites/lorenthompson/2023/03/13/amazon-presses-for-level-playing-field-on-which-to-compete-with-spacexs-starlink/,Sometimes being big is what makes it possible to bring competition to emerging markets.,0.153422,Somewhat-Bullish,,-0.033809,Neutral,20230313T161227,0.0,1.0,0.0,0.0
3 Airline Stocks to Buy Now as Air Travel Demand Bounces Back,https://www.zacks.com/stock/news/2064825/3-airline-stocks-to-buy-now-as-air-travel-demand-bounces-back,"Considering the buoyant scenario of air-travel demand, both domestic and internationally, investing in airline stocks like CPA, AAL, ALK can be a prudent move.",0.274447,Somewhat-Bullish,,0.220914,Somewhat-Bullish,20230313T152800,0.056,0.781,0.164,0.4404
